,Index,train_loss,vali_loss,test_loss
0,1,0.07767975119671572,0.041888725,0.05842718
1,2,0.04853229688947902,0.04072056,0.053081777
2,3,0.04045091291770953,0.03599988,0.049239647
3,4,0.03689897834403573,0.034593623,0.047844317
4,5,0.035846391776471996,0.033911794,0.047709685
5,6,0.034942992125752935,0.034087233,0.047673017
6,7,0.034775973206964995,0.033815622,0.047633354
7,8,0.03423383298298616,0.03370721,0.047372956
8,9,0.03429805164745126,0.033941016,0.04672219
9,10,0.03426214403120543,0.03369848,0.0467149
