,Index,true,preds,mask
0,1,0.041269347,0.042448115,0.0
1,2,0.040748455,0.040748455,1.0
2,3,0.04048801,0.041077733,0.0
3,4,0.04048801,0.04132674,0.0
4,5,0.0410089,0.0410089,1.0
5,6,0.0410089,0.04062134,0.0
6,7,0.042050682,0.04018682,0.0
7,8,0.042050682,0.04014671,0.0
8,9,0.043092467,0.042181153,0.0
9,10,0.04283202,0.04283202,1.0
10,11,0.044134248,0.044134248,1.0
11,12,0.043092467,0.043092467,1.0
12,13,0.040748455,0.04273733,0.0
13,14,0.041790236,0.042617477,0.0
14,15,0.041269347,0.042464826,0.0
15,16,0.040227562,0.04216857,0.0
16,17,0.040227562,0.042193826,0.0
17,18,0.03918578,0.042201694,0.0
18,19,0.038143996,0.038143996,1.0
19,20,0.036320876,0.036320876,1.0
20,21,0.035539538,0.035539538,1.0
21,22,0.034497757,0.034497757,1.0
22,23,0.034497757,0.034497757,1.0
23,24,0.03423731,0.03423731,1.0
24,25,0.033976864,0.04107685,0.0
25,26,0.032935083,0.032935083,1.0
26,27,0.033716418,0.039972987,0.0
27,28,0.032153744,0.032153744,1.0
28,29,0.03163285,0.040341698,0.0
29,30,0.031372406,0.04075681,0.0
30,31,0.032153744,0.032153744,1.0
31,32,0.03163285,0.03163285,1.0
32,33,0.030330624,0.030330624,1.0
33,34,0.03059107,0.03833404,0.0
34,35,0.030330624,0.039836615,0.0
35,36,0.031372406,0.04036969,0.0
36,37,0.03241419,0.03886524,0.0
37,38,0.032674637,0.032674637,1.0
38,39,0.03319553,0.03319553,1.0
39,40,0.03241419,0.03744771,0.0
40,41,0.031893298,0.031893298,1.0
41,42,0.03163285,0.0377643,0.0
42,43,0.03059107,0.038531493,0.0
43,44,0.031372406,0.037483945,0.0
44,45,0.03163285,0.03749277,0.0
45,46,0.032674637,0.032674637,1.0
46,47,0.033976864,0.03659705,0.0
47,48,0.03423731,0.03423731,1.0
48,49,0.03345597,0.03345597,1.0
49,50,0.034758203,0.034758203,1.0
50,51,0.03501865,0.03501865,1.0
51,52,0.034497757,0.034497757,1.0
52,53,0.034758203,0.034758203,1.0
53,54,0.03606043,0.03606043,1.0
54,55,0.036581323,0.040942926,0.0
55,56,0.03684177,0.040716197,0.0
56,57,0.037623104,0.037623104,1.0
57,58,0.038404442,0.038404442,1.0
58,59,0.039446227,0.040639933,0.0
59,60,0.041790236,0.040565483,0.0
60,61,0.040748455,0.04048673,0.0
61,62,0.0410089,0.040661044,0.0
62,63,0.0410089,0.04143338,0.0
63,64,0.041269347,0.041269347,1.0
64,65,0.0410089,0.0410089,1.0
65,66,0.041790236,0.04119546,0.0
66,67,0.041790236,0.041790236,1.0
67,68,0.040227562,0.040227562,1.0
68,69,0.039967116,0.039967116,1.0
69,70,0.040748455,0.040748455,1.0
70,71,0.041269347,0.041269347,1.0
71,72,0.0410089,0.0410089,1.0
72,73,0.041269347,0.041490525,0.0
73,74,0.041269347,0.036589958,0.0
74,75,0.042050682,0.042050682,1.0
75,76,0.041269347,0.041269347,1.0
76,77,0.04231113,0.041086756,0.0
77,78,0.043352913,0.043352913,1.0
78,79,0.042571574,0.042571574,1.0
79,80,0.042571574,0.04117479,0.0
80,81,0.042571574,0.04114496,0.0
81,82,0.042571574,0.041725457,0.0
82,83,0.042571574,0.042571574,1.0
83,84,0.04283202,0.042022415,0.0
84,85,0.042571574,0.042571574,1.0
85,86,0.043092467,0.043092467,1.0
86,87,0.043873806,0.043873806,1.0
87,88,0.04465514,0.04465514,1.0
88,89,0.044134248,0.041895136,0.0
89,90,0.045176033,0.045176033,1.0
90,91,0.046738707,0.04175826,0.0
91,92,0.046999153,0.046999153,1.0
92,93,0.048040938,0.041764945,0.0
93,94,0.048822273,0.042007133,0.0
94,95,0.04908272,0.04908272,1.0
95,96,0.05142673,0.042078163,0.0
