,Index,train_loss,vali_loss,test_loss
0,1,0.03477348324288454,0.03363955,0.032460082
1,2,0.025360759308331662,0.029242303,0.026783457
2,3,0.02176902516543547,0.02656693,0.022963958
3,4,0.020160830819662814,0.024340782,0.021411013
4,5,0.01932484994987467,0.022996236,0.020586232
5,6,0.018844830028335723,0.022796528,0.0199024
6,7,0.018738999118390273,0.02253281,0.01977767
7,8,0.018498974368875515,0.022486812,0.019658718
8,9,0.018388812997038567,0.02214979,0.019640706
9,10,0.018475758955972192,0.02249067,0.01960655
