,Index,train_loss,vali_loss,test_loss
0,1,0.2599797245210645,0.09902268,0.033556398
1,2,0.15721446028276598,0.08952897,0.032543935
2,3,0.13980497594107721,0.09524567,0.030887894
3,4,0.145827482471898,0.0845215,0.030832004
4,5,0.1366505671175875,0.08456954,0.030105121
5,6,0.12839169376547982,0.07867381,0.030338636
6,7,0.13753118062340836,0.07742059,0.029776195
7,8,0.14097266073698012,0.08722674,0.029497016
8,9,0.13623985998403798,0.07610077,0.029633174
9,10,0.11833964227469862,0.08746874,0.029621003
