,Index,train_loss,vali_loss,test_loss
0,1,0.04283435138750098,0.05201879,0.048368886
1,2,0.03340970088201147,0.04426322,0.039472
2,3,0.030097063842680072,0.040334024,0.036293197
3,4,0.02858694542732052,0.039556827,0.034350798
4,5,0.027859009662253943,0.038365368,0.033696875
5,6,0.027519259431478097,0.038113322,0.033100583
6,7,0.027444928366528305,0.037723344,0.03307537
7,8,0.027293347602255276,0.03779813,0.0326618
8,9,0.02725224124618781,0.03780902,0.033027314
9,10,0.027228037447961758,0.03796369,0.032602075
