,Index,train_loss,vali_loss,test_loss
0,1,0.0948746470682375,0.07532634,0.08336859
1,2,0.06734143304996766,0.07101785,0.07632346
2,3,0.062474591820337974,0.06756488,0.07408276
3,4,0.060627487120120886,0.06582873,0.072349384
4,5,0.05968153468248519,0.06580027,0.07178736
5,6,0.059306463790028456,0.06571874,0.071887344
6,7,0.05898196128411935,0.06504714,0.07167291
7,8,0.058875872460487005,0.065295115,0.07143517
8,9,0.058813973346243165,0.06533653,0.07126516
9,10,0.0588124675767405,0.06539982,0.071368545
