,Index,train_loss,vali_loss,test_loss
0,1,0.08670602470971225,0.11013024,0.07835823
1,2,0.05528728979943174,0.099376254,0.06674263
2,3,0.044071371614765584,0.092865534,0.05855496
3,4,0.039067838424712086,0.08352516,0.055311285
4,5,0.03670759309669224,0.08282167,0.053332925
5,6,0.03541950717191683,0.08313625,0.05249589
6,7,0.03491626489098264,0.08301728,0.051258866
7,8,0.034322444611134824,0.08202116,0.05163745
8,9,0.033972113902509656,0.082194455,0.050460342
9,10,0.03412502845714378,0.082245104,0.051162265
