,Index,train_loss,vali_loss,test_loss
0,1,0.08566055879960735,0.07762045,0.08184303
1,2,0.06373270179985183,0.07281982,0.07979721
2,3,0.058200169364446316,0.070330285,0.07777738
3,4,0.05535353533272351,0.0700549,0.077646784
4,5,0.05360151109305191,0.069308124,0.077396534
5,6,0.05254043714254052,0.069376074,0.07715922
6,7,0.05191829741339792,0.06926835,0.07711259
7,8,0.05157627014547482,0.06956616,0.076934434
8,9,0.05138680978411144,0.069390446,0.07708738
9,10,0.051294571993598985,0.06926286,0.07688122
