,Index,true,preds,mask
0,1,-0.14280644,-0.14280644,1.0
1,2,-0.19511272,-0.19511272,1.0
2,3,-0.24381167,-0.035084337,0.0
3,4,-0.13739544,-0.13739544,1.0
4,5,-0.036390204,0.07577279,0.0
5,6,0.014112415,-0.084141314,0.0
6,7,-0.11755513,-0.11124325,0.0
7,8,-0.2059347,-0.2059347,1.0
8,9,-0.49091378,-0.3189737,0.0
9,10,-0.80475146,-0.3044221,0.0
10,11,-0.8624687,-0.8624687,1.0
11,12,-0.947241,-0.50180525,0.0
12,13,-1.1546625,-1.1546625,1.0
13,14,-1.1817174,-1.1817174,1.0
14,15,-1.2448457,-1.2448457,1.0
15,16,-1.2737043,-1.2153258,0.0
16,17,-1.3873352,-1.3873352,1.0
17,18,-1.3169923,-1.3169923,1.0
18,19,-1.3332253,-1.0906843,0.0
19,20,-1.0247986,-0.885641,0.0
20,21,-0.7001389,-0.7001389,1.0
21,22,-0.3357986,-0.36599225,0.0
22,23,0.037560057,-0.22726437,0.0
23,24,0.28646582,-0.12039462,0.0
24,25,0.07182969,0.07182969,1.0
25,26,0.026738068,0.026738068,1.0
26,27,0.04477472,0.1536819,0.0
27,28,-0.11755513,-0.11755513,1.0
28,29,0.12954697,0.30236313,0.0
29,30,0.32073545,0.32073545,1.0
30,31,0.18726425,0.18726425,1.0
31,32,0.06822236,0.06822236,1.0
32,33,-0.16084309,-0.16084309,1.0
33,34,-0.3556389,-0.012687564,0.0
34,35,-0.5179687,-0.5179687,1.0
35,36,-0.5792934,-0.17328593,0.0
36,37,-0.7380159,-0.4975729,0.0
37,38,-0.8101625,-0.55475426,0.0
38,39,-0.65685093,-0.65685093,1.0
39,40,-0.7253902,-0.7253902,1.0
40,41,-0.71817553,-0.71817553,1.0
41,42,-0.9237934,-0.83318543,0.0
42,43,-0.9724923,-0.7297252,0.0
43,44,-0.70194256,-0.5615395,0.0
44,45,-0.5089504,-0.45718905,0.0
45,46,-0.15543209,-0.15543209,1.0
46,47,0.20349723,0.20349723,1.0
47,48,0.40731138,0.40731138,1.0
48,49,0.2936805,0.58087814,0.0
49,50,0.12233231,0.12233231,1.0
50,51,0.26482183,0.26482183,1.0
51,52,0.44518834,0.4385809,0.0
52,53,0.5299606,0.5299606,1.0
53,54,0.5245496,0.5245496,1.0
54,55,0.23957053,0.10502437,0.0
55,56,0.098884664,-0.10963926,0.0
56,57,-0.33399493,-0.33399493,1.0
57,58,-0.602741,-0.09699473,0.0
58,59,-0.70735353,-0.70735353,1.0
59,60,-0.8408248,-0.25491896,0.0
60,61,-1.0193876,-1.0193876,1.0
61,62,-1.0320133,-1.0320133,1.0
62,63,-0.925597,-0.8309346,0.0
63,64,-0.8750944,-0.8652288,0.0
64,65,-1.0193876,-0.9188835,0.0
65,66,-0.9328117,-0.97431064,0.0
66,67,-1.0284059,-1.0284059,1.0
67,68,-0.936419,-0.936419,1.0
68,69,-0.9941363,-0.886412,0.0
69,70,-1.2141834,-0.97486484,0.0
70,71,-1.3404399,-1.3404399,1.0
71,72,-1.0067619,-0.97984624,0.0
72,73,-0.7578562,-0.7578562,1.0
73,74,-0.559453,-0.81347466,0.0
74,75,-0.41696352,-0.41696352,1.0
75,76,-0.49271744,-0.49271744,1.0
76,77,-0.3087436,-0.66359484,0.0
77,78,-0.3303876,-0.60672307,0.0
78,79,-0.3863012,-0.6771071,0.0
79,80,-0.44582215,-0.44582215,1.0
80,81,-0.6839059,-0.7489649,0.0
81,82,-0.936419,-0.58607936,0.0
82,83,-1.0193876,-0.54865205,0.0
83,84,-1.0211912,-0.66913044,0.0
84,85,-1.039228,-0.83052814,0.0
85,86,-1.1546625,-1.1027889,0.0
86,87,-1.23222,-1.23222,1.0
87,88,-1.5622908,-1.5622908,1.0
88,89,-1.538843,-1.1779218,0.0
89,90,-1.4793222,-1.227589,0.0
90,91,-1.538843,-1.2596639,0.0
91,92,-1.560487,-1.2319181,0.0
92,93,-1.5370394,-1.196164,0.0
93,94,-1.2773117,-1.27061,0.0
94,95,-1.2159871,-1.292287,0.0
95,96,-1.001351,-1.001351,1.0
