,Index,train_loss,vali_loss,test_loss
0,1,0.080041013106927,0.047050033,0.06372471
1,2,0.05963732904583662,0.046666972,0.06389541
2,3,0.04579102894298258,0.03959523,0.055599377
3,4,0.04052799133311832,0.038387716,0.054114256
4,5,0.03832569332925903,0.037888467,0.05271783
5,6,0.03692521443346355,0.037621457,0.052738316
6,7,0.03608752652821358,0.037200224,0.05239769
7,8,0.03606467254892382,0.037209872,0.05235419
8,9,0.03589861426669895,0.037117433,0.05197741
9,10,0.03575639968758888,0.037097502,0.05191137
