,Index,true,preds,mask
0,1,-0.42958915,-0.42958915,1.0
1,2,-0.4782881,-0.4782881,1.0
2,3,-0.5396127,-0.5396127,1.0
3,4,-0.49091378,0.019816697,0.0
4,5,0.17644227,0.17644227,1.0
5,6,0.37304175,0.8493139,0.0
6,7,0.7518114,0.7518114,1.0
7,8,1.081882,1.081882,1.0
8,9,1.6139632,1.6139632,1.0
9,10,1.6951281,1.6956651,0.0
10,11,2.109971,2.109971,1.0
11,12,2.4508638,2.4508638,1.0
12,13,2.5482616,2.0922246,0.0
13,14,2.283123,2.1124837,0.0
14,15,2.0450392,2.0450392,1.0
15,16,1.475081,1.475081,1.0
16,17,1.5147617,1.5147617,1.0
17,18,1.3109475,1.3109475,1.0
18,19,1.1648506,1.1648506,1.0
19,20,0.9285705,0.9285705,1.0
20,21,0.43797368,1.0671799,0.0
21,22,0.02313074,0.94855237,0.0
22,23,-0.07607083,-0.07607083,1.0
23,24,-0.08148183,-0.08148183,1.0
24,25,-0.21314937,-0.21314937,1.0
25,26,-0.29792163,0.110195994,0.0
26,27,-0.47107345,0.004415989,0.0
27,28,-0.32858393,0.13564995,0.0
28,29,0.080848016,0.19573906,0.0
29,30,0.17644227,0.29192233,0.0
30,31,0.39468572,0.39468572,1.0
31,32,0.73738205,0.73738205,1.0
32,33,0.91414124,0.91414124,1.0
33,34,0.7229527,0.7229527,1.0
34,35,1.3307878,1.2784768,0.0
35,36,1.6193742,1.6193742,1.0
36,37,1.1648506,1.1648506,1.0
37,38,1.0945077,1.0945077,1.0
38,39,1.2297826,1.3759096,0.0
39,40,1.0097355,1.0097355,1.0
40,41,1.190102,1.190102,1.0
41,42,1.103526,1.103526,1.0
42,43,0.9411962,0.9411962,1.0
43,44,0.5948925,1.1712302,0.0
44,45,0.2053009,0.74734706,0.0
45,46,-0.12116245,-0.12116245,1.0
46,47,-0.00212057,0.39788043,0.0
47,48,0.19447891,0.19447891,1.0
48,49,-0.061641514,-0.061641514,1.0
49,50,-0.11935879,-0.11935879,1.0
50,51,-0.37908655,-0.37908655,1.0
51,52,-0.22938235,-0.22938235,1.0
52,53,-0.17707607,-0.17707607,1.0
53,54,-0.13378811,-0.13378811,1.0
54,55,0.39648938,0.043302238,0.0
55,56,0.66343176,0.66343176,1.0
56,57,1.0079318,0.67134255,0.0
57,58,1.119759,1.119759,1.0
58,59,1.3830941,1.3830941,1.0
59,60,1.5490313,1.5490313,1.0
60,61,1.792526,1.2100995,0.0
61,62,1.6157669,1.2044082,0.0
62,63,1.6716805,1.1918364,0.0
63,64,1.6392145,1.6392145,1.0
64,65,1.4786884,1.4786884,1.0
65,66,1.0638454,1.1713892,0.0
66,67,0.91414124,1.2281613,0.0
67,68,0.8582276,0.8582276,1.0
68,69,0.45781398,0.45781398,1.0
69,70,0.1692276,0.7424755,0.0
70,71,0.22153388,0.22153388,1.0
71,72,-0.11935879,0.3258052,0.0
72,73,-0.30693993,0.25253543,0.0
73,74,-0.4079452,-0.12174761,0.0
74,75,-0.7578562,-0.7578562,1.0
75,76,-0.77408916,-0.77408916,1.0
76,77,-0.46566245,-0.46566245,1.0
77,78,-0.37367555,-0.5017565,0.0
78,79,0.028541734,0.028541734,1.0
79,80,0.39829305,0.39829305,1.0
80,81,0.5768559,0.5768559,1.0
81,82,0.6724501,0.6724501,1.0
82,83,0.7932957,0.4371723,0.0
83,84,1.1395993,1.1395993,1.0
84,85,1.2550339,0.61638093,0.0
85,86,1.173869,1.173869,1.0
86,87,0.8979082,0.8979082,1.0
87,88,0.71573806,0.55330926,0.0
88,89,0.69589776,0.69589776,1.0
89,90,0.37845272,0.37845272,1.0
90,91,0.120528646,0.28604767,0.0
91,92,-0.48730645,0.05917692,0.0
92,93,0.035756394,0.035756394,1.0
93,94,-0.47648445,-0.47648445,1.0
94,95,-0.38449752,-0.38449752,1.0
95,96,-0.56306034,-0.39128166,0.0
