,Index,train_loss,vali_loss,test_loss
0,1,0.09964558926339333,0.08866882,0.097397454
1,2,0.07514251690436076,0.08482027,0.09475143
2,3,0.0692879331259096,0.08316833,0.09445446
3,4,0.06669660433931472,0.083335124,0.094393134
4,5,0.06514576653513562,0.08283435,0.09428014
5,6,0.06431143655982259,0.08316457,0.09450296
6,7,0.06383761376389986,0.0829162,0.0943713
7,8,0.06361518505231276,0.08276443,0.09441349
8,9,0.06345951324980055,0.08289215,0.09441703
9,10,0.06335347278981462,0.082756534,0.094299905
