,Index,train_loss,vali_loss,test_loss
0,1,0.1263937425803156,0.0985644,0.1641817
1,2,0.057417142885119725,0.062540635,0.124599956
2,3,0.043519238843704657,0.053900253,0.10934981
3,4,0.038557809889177036,0.050307516,0.1055308
4,5,0.03599648034611668,0.051397733,0.11255848
5,6,0.035084916878673024,0.050613318,0.11221221
6,7,0.03414958275240682,0.05103142,0.11451211
7,8,0.03427225449698025,0.04932111,0.109658524
8,9,0.034018970896884076,0.0489018,0.1084013
9,10,0.03382346050444056,0.049581263,0.111385316
