,Index,train_loss,vali_loss,test_loss
0,1,0.0478889117641729,0.038269028,0.058393173
1,2,0.025349603714239798,0.03160916,0.06268825
2,3,0.018841230876902905,0.027376276,0.06247691
3,4,0.016730266297192847,0.027459815,0.07025802
4,5,0.015546055808109936,0.029308198,0.083777845
5,6,0.014893745987510918,0.027812235,0.077170774
6,7,0.014528345178290441,0.02850506,0.08235974
7,8,0.014425771644930446,0.029063288,0.086153045
8,9,0.01422804139879642,0.029120874,0.08696466
9,10,0.014261802341079922,0.029112458,0.08612434
