,Index,train_loss,vali_loss,test_loss
0,1,0.10923606345521195,0.12264542,0.16975632
1,2,0.06783568913156128,0.108742274,0.15812477
2,3,0.05694367472486166,0.10370041,0.15254825
3,4,0.052752786944457494,0.1025969,0.15075572
4,5,0.050505153098879575,0.10089902,0.1491465
5,6,0.04932508987889111,0.1012312,0.14880303
6,7,0.0486368153934608,0.10075934,0.14829274
7,8,0.048333196487225644,0.099380344,0.14829044
8,9,0.04819365517868029,0.098698035,0.14796516
9,10,0.0480927286565408,0.10007819,0.14807923
