,Index,true,preds,mask
0,1,0.38747105,0.38747105,1.0
1,2,0.06281137,0.06281137,1.0
2,3,-0.26004466,-0.26004466,1.0
3,4,-0.2943143,-0.2943143,1.0
4,5,-0.5161651,-0.5161651,1.0
5,6,-0.66586924,-0.10995224,0.0
6,7,-0.64963627,-0.64963627,1.0
7,8,-0.9003457,-0.9003457,1.0
8,9,-1.0031546,-1.0031546,1.0
9,10,-0.9003457,-0.9003457,1.0
10,11,-0.99593997,-0.99593997,1.0
11,12,-0.7145682,-0.7145682,1.0
12,13,-0.45123315,-0.45123315,1.0
13,14,0.0014867599,0.0014867599,1.0
14,15,0.43977734,0.43977734,1.0
15,16,0.88167524,0.88167524,1.0
16,17,1.0782747,1.0782747,1.0
17,18,0.9826805,0.9826805,1.0
18,19,1.141403,1.141403,1.0
19,20,1.9819108,1.9819108,1.0
20,21,1.9368192,1.9368192,1.0
21,22,1.9079605,1.9079605,1.0
22,23,1.3812904,1.3812904,1.0
23,24,1.0638454,1.0638454,1.0
24,25,0.93398154,0.93398154,1.0
25,26,0.58046323,0.58046323,1.0
26,27,-0.05623052,0.78977096,0.0
27,28,-0.16084309,-0.16084309,1.0
28,29,-0.5089504,-0.5089504,1.0
29,30,-0.4836991,-0.4836991,1.0
30,31,-0.47468078,-0.11951195,0.0
31,32,-0.6424216,-0.33378756,0.0
32,33,-0.8606651,-0.8606651,1.0
33,34,-0.8841127,-0.8841127,1.0
34,35,-0.9887253,-0.7819875,0.0
35,36,-0.6839059,-0.6839059,1.0
36,37,-0.4223745,-0.4223745,1.0
37,38,-0.07967816,0.24029283,0.0
38,39,0.2576072,0.2576072,1.0
39,40,0.7842773,0.7842773,1.0
40,41,1.0728637,1.0728637,1.0
41,42,0.9466072,0.9466072,1.0
42,43,1.2911072,1.2911072,1.0
43,44,2.331822,2.331822,1.0
44,45,2.622212,2.622212,1.0
45,46,2.4833298,2.4833298,1.0
46,47,1.3199658,1.2350922,0.0
47,48,0.9105339,0.9105339,1.0
48,49,0.6886831,0.6886831,1.0
49,50,0.36763075,0.36763075,1.0
50,51,0.019523408,0.019523408,1.0
51,52,-0.13198444,-0.13198444,1.0
52,53,-0.26906297,-0.26906297,1.0
53,54,-0.66226196,-0.66226196,1.0
54,55,-0.41335618,-0.41335618,1.0
55,56,-0.51255774,-0.51255774,1.0
56,57,-0.7253902,-0.7253902,1.0
57,58,-0.7037462,-0.7037462,1.0
58,59,-0.75424886,-0.75424886,1.0
59,60,-0.72358656,-0.72358656,1.0
60,61,-0.77589285,-0.77589285,1.0
61,62,-0.5251834,-0.5251834,1.0
62,63,-0.53420174,-0.53420174,1.0
63,64,-0.34301326,-0.34301326,1.0
64,65,-0.21856037,-0.08458562,0.0
65,66,-0.581097,-0.581097,1.0
66,67,-0.38990852,-0.38990852,1.0
67,68,-0.12296612,0.027105195,0.0
68,69,0.40370405,-0.03393257,0.0
69,70,0.4830653,0.4830653,1.0
70,71,0.3026988,0.3026988,1.0
71,72,0.11331399,0.11331399,1.0
72,73,-0.025568213,-0.07755243,0.0
73,74,-0.5053431,-0.5053431,1.0
74,75,-0.68210226,-0.68210226,1.0
75,76,-0.53420174,-0.53420174,1.0
76,77,-0.6334033,-0.6334033,1.0
77,78,-0.7903221,-0.7903221,1.0
78,79,-0.65865463,-0.65865463,1.0
79,80,-1.0734975,-1.0734975,1.0
80,81,-0.9760996,-0.9760996,1.0
81,82,-1.0229949,-1.0229949,1.0
82,83,-1.1113745,-1.1113745,1.0
83,84,-1.0680865,-1.2815089,0.0
84,85,-1.1258038,-1.1258038,1.0
85,86,-1.0861232,-1.0861232,1.0
86,87,-1.0266023,-1.0266023,1.0
87,88,-0.7362122,-0.7362122,1.0
88,89,-0.49993208,-0.49993208,1.0
89,90,-0.602741,-0.602741,1.0
90,91,-0.5251834,-0.5251834,1.0
91,92,-0.5414164,-0.5414164,1.0
92,93,-0.5666677,-0.5666677,1.0
93,94,-0.5305944,-0.5305944,1.0
94,95,-0.59733,-0.59733,1.0
95,96,-0.7199792,-0.853145,0.0
