,Index,train_loss,vali_loss,test_loss
0,1,0.17363006181337617,0.17210367,0.046335466
1,2,0.16410650320597425,0.15625378,0.045049526
2,3,0.18073250928576898,0.14801916,0.03546525
3,4,0.1581234941854522,0.12346987,0.03147861
4,5,0.11516939039759762,0.13181788,0.030288424
5,6,0.13501173398883226,0.13752201,0.029479047
6,7,0.13044605921125893,0.12251159,0.028693646
7,8,0.11007914057292333,0.12259428,0.028742377
8,9,0.12551192876977238,0.12762989,0.028744472
9,10,0.12601795637264698,0.11654175,0.02913907
