,Index,true,preds,mask
0,1,0.063407235,0.063407235,1.0
1,2,0.06575125,0.06575125,1.0
2,3,0.063407235,0.063407235,1.0
3,4,0.06314679,0.115979366,0.0
4,5,0.06496991,0.06496991,1.0
5,6,0.06418857,0.06881959,0.0
6,7,0.065230355,0.065230355,1.0
7,8,0.06809526,0.06809526,1.0
8,9,0.06809526,0.06809526,1.0
9,10,0.06861615,0.046744935,0.0
10,11,0.06965794,0.06965794,1.0
11,12,0.07226239,0.115965985,0.0
12,13,0.07017883,0.061660163,0.0
13,14,0.07200195,0.07200195,1.0
14,15,0.07408551,0.07408551,1.0
15,16,0.07252284,0.08811849,0.0
16,17,0.074866846,0.06131267,0.0
17,18,0.07408551,0.033611953,0.0
18,19,0.07330418,0.051753365,0.0
19,20,0.07252284,0.07252284,1.0
20,21,0.07382507,0.0652515,0.0
21,22,0.07226239,0.07657267,0.0
22,23,0.07356462,0.07356462,1.0
23,24,0.0746064,0.0746064,1.0
24,25,0.07825264,0.07825264,1.0
25,26,0.080857106,0.080857106,1.0
26,27,0.07642952,0.087962575,0.0
27,28,0.07226239,0.07226239,1.0
28,29,0.07017883,0.07017883,1.0
29,30,0.06991838,0.06536534,0.0
30,31,0.07226239,0.010131859,0.0
31,32,0.07226239,0.07226239,1.0
32,33,0.07408551,0.07408551,1.0
33,34,0.07564819,0.013215901,0.0
34,35,0.07616908,0.026299208,0.0
35,36,0.07721086,0.08484377,0.0
36,37,0.07773175,0.080915704,0.0
37,38,0.07564819,0.011535129,0.0
38,39,0.07616908,0.07933614,0.0
39,40,0.07721086,0.028855033,0.0
40,41,0.07408551,0.10007991,0.0
41,42,0.0746064,0.0746064,1.0
42,43,0.07668997,0.064650856,0.0
43,44,0.07721086,0.07721086,1.0
44,45,0.07616908,0.06333845,0.0
45,46,0.07851309,0.07851309,1.0
46,47,0.07642952,0.07642952,1.0
47,48,0.07616908,0.10915874,0.0
48,49,0.07721086,0.04848133,0.0
49,50,0.07721086,0.07721086,1.0
50,51,0.0779922,0.04660008,0.0
51,52,0.08189888,0.10211526,0.0
52,53,0.080596656,0.066765614,0.0
53,54,0.07981532,0.07684732,0.0
54,55,0.08007576,0.08007576,1.0
55,56,0.07955487,0.07415183,0.0
56,57,0.07955487,0.037809644,0.0
57,58,0.078773536,0.052042935,0.0
58,59,0.07955487,0.07955487,1.0
59,60,0.08033621,0.08033621,1.0
60,61,0.08033621,0.08033621,1.0
61,62,0.08163844,0.08163844,1.0
62,63,0.08215933,0.09412155,0.0
63,64,0.083722,0.083722,1.0
64,65,0.08111755,0.07314029,0.0
65,66,0.08111755,0.08111755,1.0
66,67,0.08007576,0.08007576,1.0
67,68,0.08111755,0.08111755,1.0
68,69,0.082680225,0.085984044,0.0
69,70,0.084242895,0.084242895,1.0
70,71,0.08736825,0.07970293,0.0
71,72,0.08502424,0.06282571,0.0
72,73,0.08476379,0.06408523,0.0
73,74,0.08294067,0.08294067,1.0
74,75,0.083722,0.083722,1.0
75,76,0.08502424,0.116793446,0.0
76,77,0.08684736,0.0813785,0.0
77,78,0.08658691,0.08658691,1.0
78,79,0.086066015,0.086066015,1.0
79,80,0.08580557,0.07591181,0.0
80,81,0.08736825,0.08736825,1.0
81,82,0.089972705,0.089972705,1.0
82,83,0.08736825,0.1264168,0.0
83,84,0.08736825,0.08736825,1.0
84,85,0.087889135,0.07861023,0.0
85,86,0.09075404,0.09075404,1.0
86,87,0.095702514,0.06435876,0.0
87,88,0.09934875,0.09934875,1.0
88,89,0.10221366,0.10221366,1.0
89,90,0.1024741,0.0524064,0.0
90,91,0.10299499,0.05543361,0.0
91,92,0.101432316,0.07356591,0.0
92,93,0.10091142,0.10091142,1.0
93,94,0.09830697,0.08481938,0.0
94,95,0.09856741,0.07028952,0.0
95,96,0.101432316,0.101432316,1.0
