,Index,train_loss,vali_loss,test_loss
0,1,0.11260320826639397,0.1401878,0.10200511
1,2,0.07895709485624837,0.12624988,0.097684726
2,3,0.06984555733840117,0.115659006,0.08925726
3,4,0.06611436057124245,0.11667947,0.088082574
4,5,0.0638563862691323,0.11311029,0.083522074
5,6,0.06309438319632624,0.1142559,0.084498584
6,7,0.0626479923683271,0.11232914,0.08403167
7,8,0.06261469735607003,0.1133714,0.08502793
8,9,0.062447959124651294,0.11344043,0.08441966
9,10,0.0626329244480709,0.11372265,0.082607016
