,Index,train_loss,vali_loss,test_loss
0,1,0.11104634994888431,0.084869474,0.09382052
1,2,0.07489579523281827,0.077646405,0.08723621
2,3,0.06772930024295941,0.07398053,0.083425015
3,4,0.0652050277921599,0.07253805,0.081615284
4,5,0.0639620578580803,0.07157752,0.08127111
5,6,0.06337629843802824,0.07142758,0.0808347
6,7,0.06308763832752626,0.07103368,0.0803171
7,8,0.06290806739402192,0.07096003,0.08051774
8,9,0.06275944415336618,0.07047083,0.08032359
9,10,0.06268525360334483,0.071055435,0.08030598
