,Index,true,preds,mask
0,1,1.6356072,1.9164606,0.0
1,2,1.1955129,1.1955129,1.0
2,3,1.3921124,2.197116,0.0
3,4,1.7636673,1.7636673,1.0
4,5,2.164081,2.164081,1.0
5,6,2.304767,2.4344733,0.0
6,7,2.1550627,2.1550627,1.0
7,8,1.6500365,1.6500365,1.0
8,9,1.2712668,1.0806203,0.0
9,10,0.98628783,1.2071764,0.0
10,11,0.48847628,0.48847628,1.0
11,12,0.1331543,0.1331543,1.0
12,13,-0.18789805,-0.18789805,1.0
13,14,-0.40974885,0.53756404,0.0
14,15,-0.5504347,-0.5504347,1.0
15,16,-0.5558457,0.0708576,0.0
16,17,-0.5720787,0.0040370226,0.0
17,18,-0.5071468,-0.360069,0.0
18,19,-0.60995567,-0.62055385,0.0
19,20,-0.35744256,-0.41157332,0.0
20,21,0.20710456,0.20710456,1.0
21,22,0.49027994,0.55208516,0.0
22,23,0.67425376,0.67425376,1.0
23,24,1.141403,0.819412,0.0
24,25,1.3001255,1.3001255,1.0
25,26,0.95562553,1.1593528,0.0
26,27,1.2911072,1.5427983,0.0
27,28,1.5003324,1.5003324,1.0
28,29,1.7672747,1.7672747,1.0
29,30,2.3354292,2.3354292,1.0
30,31,1.6770915,1.6770915,1.0
31,32,1.087293,1.5541664,0.0
32,33,0.8474056,0.9910363,0.0
33,34,0.58046323,1.0952305,0.0
34,35,0.17283493,0.17283493,1.0
35,36,-0.2943143,1.1039609,0.0
36,37,-0.42598182,0.8005593,0.0
37,38,-0.57388234,-0.57388234,1.0
38,39,-0.58650804,-0.58650804,1.0
39,40,-0.60454464,-0.60454464,1.0
40,41,-0.57388234,-0.57388234,1.0
41,42,-0.5901153,-0.64448905,0.0
42,43,-0.76507086,-0.76507086,1.0
43,44,-0.6388143,-0.6388143,1.0
44,45,-0.23659702,-0.669768,0.0
45,46,-0.09050015,-0.67293787,0.0
46,47,0.2053009,0.2053009,1.0
47,48,0.115117654,0.115117654,1.0
48,49,0.31712812,-0.22498465,0.0
49,50,0.030345399,0.030345399,1.0
50,51,0.120528646,0.14025411,0.0
51,52,0.2107119,0.28036937,0.0
52,53,0.775259,0.53409576,0.0
53,54,0.7716517,0.7716517,1.0
54,55,0.45420665,0.45420665,1.0
55,56,0.32795012,0.32795012,1.0
56,57,0.24498153,0.24498153,1.0
57,58,0.080848016,0.6618284,0.0
58,59,-0.05623052,0.7029278,0.0
59,60,-0.08328549,0.691432,0.0
60,61,-0.16084309,-0.16084309,1.0
61,62,-0.263652,-0.263652,1.0
62,63,-0.2997253,-0.2997253,1.0
63,64,-0.60634834,-0.60634834,1.0
64,65,-0.63520694,-0.63520694,1.0
65,66,-0.75424886,-0.75424886,1.0
66,67,-0.8714871,-1.1648577,0.0
67,68,-0.93822265,-1.1207846,0.0
68,69,-0.8083588,-0.99461484,0.0
69,70,-0.83541375,-1.0490865,0.0
70,71,-0.78491116,-1.075135,0.0
71,72,-0.69833523,-0.69833523,1.0
72,73,-0.618974,-0.618974,1.0
73,74,-0.67128026,-0.71059227,0.0
74,75,-0.5576494,-0.5395334,0.0
75,76,-0.44401848,-0.44401848,1.0
76,77,-0.618974,-0.618974,1.0
77,78,-0.618974,-0.4221364,0.0
78,79,-0.6424216,-0.32308584,0.0
79,80,-0.7001389,-0.44361332,0.0
80,81,-0.62979597,-0.62979597,1.0
81,82,-0.7037462,-0.7037462,1.0
82,83,-0.7776965,-0.93054056,0.0
83,84,-0.79392946,-0.79392946,1.0
84,85,-0.8606651,-0.8606651,1.0
85,86,-1.0608718,-1.1765182,0.0
86,87,-1.1564661,-1.2490615,0.0
87,88,-1.2340237,-1.2340237,1.0
88,89,-1.1456442,-1.1842753,0.0
89,90,-1.1564661,-1.2704109,0.0
90,91,-1.0211912,-1.4233493,0.0
91,92,-0.7037462,-1.1172731,0.0
92,93,-0.09951848,-0.09951848,1.0
93,94,0.17824592,0.17824592,1.0
94,95,0.45961764,0.02387087,0.0
95,96,0.33696845,0.5666379,0.0
