,Index,train_loss,vali_loss,test_loss
0,1,0.11453305131822043,0.14677697,0.114563785
1,2,0.07229162255922954,0.14001876,0.110199384
2,3,0.06365753872117746,0.13904294,0.10421034
3,4,0.059794652579205756,0.13328242,0.10494121
4,5,0.058197065992525006,0.13202848,0.10632104
5,6,0.05682988621796785,0.13150696,0.10307863
6,7,0.056690728480226535,0.13015883,0.10513207
7,8,0.056007244599780785,0.1313017,0.10502942
8,9,0.0562028434155474,0.13066208,0.103395656
9,10,0.056074251612641395,0.13099982,0.10295436
