,Index,train_loss,vali_loss,test_loss
0,1,0.18536654598897517,0.09882254,0.03461399
1,2,0.1509700742181149,0.091159366,0.033423983
2,3,0.13236224481276115,0.10703449,0.032527015
3,4,0.12510359870199408,0.09190277,0.032427844
4,5,0.12616500383054188,0.097471915,0.031583816
5,6,0.1234988188488541,0.097610936,0.03173574
6,7,0.12745576554187463,0.099600144,0.031584594
7,8,0.11608798512820317,0.09699138,0.031666845
8,9,0.11220492047621095,0.09300516,0.031642973
9,10,0.1155756043870587,0.10396065,0.031612124
