,Index,true,preds,mask
0,1,-0.93822265,-0.89973724,0.0
1,2,-0.9057567,-0.9057567,1.0
2,3,-0.8588614,-0.8588614,1.0
3,4,-0.8516468,-0.66503567,0.0
4,5,-0.66226196,-0.49693286,0.0
5,6,-0.12837711,-0.12837711,1.0
6,7,-0.16264676,0.086443275,0.0
7,8,0.120528646,0.120528646,1.0
8,9,0.14397629,0.30651477,0.0
9,10,-0.052623186,-0.052623186,1.0
10,11,0.17103127,0.17103127,1.0
11,12,0.019523408,0.019523408,1.0
12,13,0.6309658,0.6309658,1.0
13,14,0.5407826,0.5407826,1.0
14,15,0.39288205,0.011965096,0.0
15,16,0.017719744,-0.28500974,0.0
16,17,-0.23659702,-0.23659702,1.0
17,18,-0.58650804,-0.2249027,0.0
18,19,-0.7993405,-0.7993405,1.0
19,20,-0.8444321,-0.8444321,1.0
20,21,-0.8444321,-0.42260432,0.0
21,22,-0.8696834,-0.5101716,0.0
22,23,-0.7271939,-0.7271939,1.0
23,24,-0.8300028,-0.8300028,1.0
24,25,-1.0374242,-1.0374242,1.0
25,26,-1.0482463,-1.060229,0.0
26,27,-1.0193876,-1.0193876,1.0
27,28,-0.963474,-0.717361,0.0
28,29,-0.47287712,-0.55278856,0.0
29,30,0.1277433,-0.1003412,0.0
30,31,0.21612288,0.21612288,1.0
31,32,0.3550051,0.17036971,0.0
32,33,0.2774475,0.20801172,0.0
33,34,0.14758362,0.14758362,1.0
34,35,0.24317786,0.24317786,1.0
35,36,0.2774475,0.2093384,0.0
36,37,0.32253912,0.32253912,1.0
37,38,0.39107838,0.18981281,0.0
38,39,0.34779042,0.34779042,1.0
39,40,-0.047212195,-0.047212195,1.0
40,41,-0.16264676,-0.16264676,1.0
41,42,-0.43500015,-0.10936463,0.0
42,43,-0.71276456,-0.054242045,0.0
43,44,-0.9165787,-0.9165787,1.0
44,45,-1.001351,-1.001351,1.0
45,46,-0.9003457,-0.48274726,0.0
46,47,-0.64061797,-0.71903443,0.0
47,48,-0.8227881,-1.0168804,0.0
48,49,-0.94904464,-0.96616626,0.0
49,50,-1.0771049,-1.1083765,0.0
50,51,-0.9436337,-0.9088408,0.0
51,52,-0.8011441,-0.7365941,0.0
52,53,-0.54322004,-0.54322004,1.0
53,54,0.27925116,0.27925116,1.0
54,55,0.4055077,0.020560771,0.0
55,56,0.34779042,0.19411245,0.0
56,57,0.41813335,0.188692,0.0
57,58,0.17103127,0.17103127,1.0
58,59,0.11872498,0.11872498,1.0
59,60,0.08265168,0.08265168,1.0
60,61,0.5191386,0.17293003,0.0
61,62,0.5335679,0.5335679,1.0
62,63,0.36041608,-0.10900232,0.0
63,64,0.109706655,-0.28701082,0.0
64,65,-0.23840068,-0.23840068,1.0
65,66,-0.56306034,-0.096888274,0.0
66,67,-0.79573315,-0.79573315,1.0
67,68,-0.94183,-0.073249966,0.0
68,69,-0.99052894,-0.2767241,0.0
69,70,-0.96167034,-0.49784556,0.0
70,71,-0.5991337,-0.5991337,1.0
71,72,-0.7722855,-1.0073026,0.0
72,73,-0.8823091,-0.8823091,1.0
73,74,-0.96888494,-0.96888494,1.0
74,75,-1.0229949,-1.0229949,1.0
75,76,-1.017584,-1.0904601,0.0
76,77,-1.1528589,-1.1528589,1.0
77,78,-1.0825158,-1.0825158,1.0
78,79,-1.2827227,-1.2827227,1.0
79,80,-1.205165,-1.205165,1.0
80,81,0.1331543,0.1331543,1.0
81,82,-0.74342686,-0.9803437,0.0
82,83,-0.7578562,-0.8930026,0.0
83,84,-0.6965316,-0.89576554,0.0
84,85,-0.6225813,-0.6225813,1.0
85,86,-0.3303876,-0.3303876,1.0
86,87,-0.3357986,-0.3357986,1.0
87,88,-0.50173575,-1.0386204,0.0
88,89,-0.68029857,-0.68029857,1.0
89,90,-0.95986664,-0.57361203,0.0
90,91,-0.9887253,-0.5224482,0.0
91,92,-1.0464425,-1.0464425,1.0
92,93,-1.1528589,-0.88027465,0.0
93,94,-1.2376311,-1.2376311,1.0
94,95,-1.1041598,-1.1041598,1.0
95,96,-1.4270159,-1.4270159,1.0
