,Index,train_loss,vali_loss,test_loss
0,1,0.1042070584267043,0.16596414,0.08311753
1,2,0.0722828766868244,0.15326174,0.069242276
2,3,0.06165257669734151,0.14767542,0.0642929
3,4,0.05755246159958929,0.14484245,0.061279632
4,5,0.05519495569588093,0.14839886,0.059118737
5,6,0.05406911160503881,0.14942336,0.060712058
6,7,0.053376448072130316,0.14918211,0.05916655
7,8,0.053262554639287654,0.1470439,0.05889417
8,9,0.05309872783385636,0.14461443,0.058479995
9,10,0.053013896088251904,0.15030499,0.05819779
