,Index,true,preds,mask
0,1,-1.4449164,-1.4449164,1.0
1,2,-1.429551,-1.429551,1.0
2,3,-1.3759357,-1.0440574,0.0
3,4,-1.2992179,-0.7193011,0.0
4,5,-1.4219228,-0.5174841,0.0
5,6,-1.4219228,-0.70804465,0.0
6,7,-1.3759357,-0.74485236,0.0
7,8,-1.5522559,-0.8891562,0.0
8,9,-1.4142946,-1.1676954,0.0
9,10,-1.4985316,-1.4985316,1.0
10,11,-1.4985316,-1.4985316,1.0
11,12,-1.5598841,-1.5598841,1.0
12,13,-1.5598841,-1.5598841,1.0
13,14,-1.5906147,-1.5906147,1.0
14,15,-1.6672236,-1.6672236,1.0
15,16,-1.6288646,-1.2680963,0.0
16,17,-1.5752493,-1.5752493,1.0
17,18,-1.5752493,-1.3398491,0.0
18,19,-1.5828775,-1.5828775,1.0
19,20,-1.5292623,-1.4302746,0.0
20,21,-1.5906147,-1.2495478,0.0
21,22,-1.5906147,-1.3184743,0.0
22,23,-1.5906147,-1.3583132,0.0
23,24,-1.6058711,-1.3081498,0.0
24,25,-1.5752493,-1.284259,0.0
25,26,-1.6212364,-1.2265459,0.0
26,27,-1.5906147,-1.5906147,1.0
27,28,-1.3529422,-1.3529422,1.0
28,29,-1.4142946,-1.4142946,1.0
29,30,-1.4525446,-1.4525446,1.0
30,31,-1.3375769,-1.0555394,0.0
31,32,-1.4525446,-1.4525446,1.0
32,33,-1.3375769,-1.493403,0.0
33,34,-1.429551,-1.429551,1.0
34,35,-1.4679098,-1.4679098,1.0
35,36,-1.4909034,-1.4909034,1.0
36,37,-1.5292623,-1.5292623,1.0
37,38,-1.6288646,-1.5095183,0.0
38,39,-1.6288646,-1.4762543,0.0
39,40,-1.5675122,-1.5675122,1.0
40,41,-1.6058711,-1.6058711,1.0
41,42,-1.6825889,-1.600254,0.0
42,43,-1.64423,-1.64423,1.0
43,44,-1.6212364,-1.6212364,1.0
44,45,-1.6825889,-1.6825889,1.0
45,46,-1.6212364,-1.6212364,1.0
46,47,-1.6288646,-1.6905392,0.0
47,48,-1.6978452,-1.6978452,1.0
48,49,-1.690217,-1.5636588,0.0
49,50,-1.6518582,-1.5519391,0.0
50,51,-1.6748518,-1.6748518,1.0
51,52,-1.64423,-1.470379,0.0
52,53,-1.6366018,-1.394651,0.0
53,54,-1.64423,-1.64423,1.0
54,55,-1.5906147,-1.3755598,0.0
55,56,-1.5906147,-1.5906147,1.0
56,57,-1.6136082,-1.6136082,1.0
57,58,-1.5906147,-1.3726958,0.0
58,59,-1.6136082,-1.6136082,1.0
59,60,-1.6288646,-1.6288646,1.0
60,61,-1.5828775,-1.443771,0.0
61,62,-1.6212364,-1.3926246,0.0
62,63,-1.5906147,-1.3452505,0.0
63,64,-1.5906147,-1.3621389,0.0
64,65,-1.64423,-1.64423,1.0
65,66,-1.5445187,-0.9348431,0.0
66,67,-1.5828775,-1.0715252,0.0
67,68,-1.5215251,-1.5215251,1.0
68,69,-1.5292623,-1.1443561,0.0
69,70,-1.5522559,-1.5522559,1.0
70,71,-1.5215251,-1.5215251,1.0
71,72,-1.5598841,-1.1425207,0.0
72,73,-1.5062687,-1.5062687,1.0
73,74,-1.5522559,-1.5522559,1.0
74,75,-1.3759357,-1.3759357,1.0
75,76,-1.2762244,-1.2540079,0.0
76,77,-1.260968,-1.260968,1.0
77,78,-1.2379745,-1.2379745,1.0
78,79,-1.1382631,-0.9718424,0.0
79,80,-1.130635,-1.130635,1.0
80,81,-1.0922761,-0.9002584,0.0
81,82,-0.9773084,-1.1236101,0.0
82,83,-1.1612567,-1.1612567,1.0
83,84,-1.1458913,-1.1458913,1.0
84,85,-1.2456027,-1.338996,0.0
85,86,-1.2379745,-1.2379745,1.0
86,87,-1.214981,-1.2484831,0.0
87,88,-1.2379745,-1.279517,0.0
88,89,-1.2226092,-1.2226092,1.0
89,90,-1.2072438,-1.285252,0.0
90,91,-1.214981,-1.214981,1.0
91,92,-1.2226092,-1.2973211,0.0
92,93,-1.2302372,-1.2302372,1.0
93,94,-1.2379745,-1.2379745,1.0
94,95,-1.3605703,-1.3194627,0.0
95,96,-1.429551,-1.4200318,0.0
