,Index,true,preds,mask
0,1,-0.40497616,-0.76665735,0.0
1,2,-0.42397332,-0.6949185,0.0
2,3,-0.44292715,-0.67404556,0.0
3,4,-0.46188098,-0.46188098,1.0
4,5,-0.48087814,-0.7879127,0.0
5,6,-0.49983197,-0.7041341,0.0
6,7,-0.51878583,-0.51878583,1.0
7,8,-0.5567368,-0.5567368,1.0
8,9,-0.59468764,-0.7540134,0.0
9,10,-0.6136415,-0.81709003,0.0
10,11,-0.63263863,-0.63263863,1.0
11,12,-0.65163565,-0.867116,0.0
12,13,-0.67058945,-0.7335405,0.0
13,14,-0.6895435,-0.8667346,0.0
14,15,-0.70854044,-0.70854044,1.0
15,16,-0.70854044,-0.86591583,0.0
16,17,-0.72753745,-0.72753745,1.0
17,18,-0.72753745,-0.9694822,0.0
18,19,-0.74649125,-0.74649125,1.0
19,20,-0.7654453,-0.7654453,1.0
20,21,-0.7654453,-0.7654453,1.0
21,22,-0.78444225,-1.0377018,0.0
22,23,-0.78444225,-0.9924669,0.0
23,24,-0.80343926,-1.0418897,0.0
24,25,-0.82239324,-0.9730514,0.0
25,26,-0.82239324,-0.9629029,0.0
26,27,-0.8413471,-0.8413471,1.0
27,28,-0.8603441,-1.1265837,0.0
28,29,-0.8603441,-1.0171967,0.0
29,30,-0.87934124,-1.1264379,0.0
30,31,-0.8982951,-0.8982951,1.0
31,32,-0.8982951,-1.2465097,0.0
32,33,-0.93620276,-0.93620276,1.0
33,34,-0.93620276,-1.2414923,0.0
34,35,-0.97415376,-0.97415376,1.0
35,36,-0.97415376,-1.4012096,0.0
36,37,-0.9931508,-1.3720446,0.0
37,38,-1.0121046,-1.390176,0.0
38,39,-1.0500556,-1.3632613,0.0
39,40,-1.0500556,-1.0500556,1.0
40,41,-1.0880065,-1.0880065,1.0
41,42,-1.0880065,-1.6587174,0.0
42,43,-1.1069603,-1.1069603,1.0
43,44,-1.1259574,-1.1259574,1.0
44,45,-1.1259574,-1.1259574,1.0
45,46,-1.1639084,-1.1639084,1.0
46,47,-1.1639084,-1.1639084,1.0
47,48,-1.1828623,-1.7276064,0.0
48,49,-1.2018592,-1.2018592,1.0
49,50,-1.2018592,-1.654634,0.0
50,51,-1.2398102,-1.2398102,1.0
51,52,-1.2398102,-1.2398102,1.0
52,53,-1.2398102,-1.7579533,0.0
53,54,-1.2398102,-1.2398102,1.0
54,55,-1.2398102,-1.4944856,0.0
55,56,-1.2398102,-1.5162678,0.0
56,57,-1.2398102,-1.2398102,1.0
57,58,-1.2398102,-1.4624944,0.0
58,59,-1.2398102,-1.2398102,1.0
59,60,-1.2398102,-1.5033593,0.0
60,61,-1.2398102,-1.370145,0.0
61,62,-1.2398102,-1.4165622,0.0
62,63,-1.2208132,-1.250692,0.0
63,64,-1.2018592,-1.1814678,0.0
64,65,-1.2018592,-1.2018592,1.0
65,66,-1.1639084,-1.3569946,0.0
66,67,-1.1449113,-1.279679,0.0
67,68,-1.1259574,-1.1259574,1.0
68,69,-1.0880065,-1.3220439,0.0
69,70,-1.0500556,-1.1027794,0.0
70,71,-1.0121046,-1.0308408,0.0
71,72,-0.97415376,-0.97415376,1.0
72,73,-0.93620276,-1.1610849,0.0
73,74,-0.8982951,-1.028518,0.0
74,75,-0.8603441,-0.8603441,1.0
75,76,-0.8033961,-1.0756319,0.0
76,77,-0.76548845,-0.93051577,0.0
77,78,-0.74649125,-0.88412184,0.0
78,79,-0.7274943,-0.8713661,0.0
79,80,-0.70854044,-0.70854044,1.0
80,81,-0.68958664,-0.78422445,0.0
81,82,-0.6515925,-0.6515925,1.0
82,83,-0.63263863,-0.63263863,1.0
83,84,-0.59468764,-0.80154324,0.0
84,85,-0.5567368,-0.48740944,0.0
85,86,-0.518829,-0.5304137,0.0
86,87,-0.4808348,-0.5833556,0.0
87,88,-0.46188098,-0.56058717,0.0
88,89,-0.44292715,-0.7101434,0.0
89,90,-0.44292715,-0.52501595,0.0
90,91,-0.44292715,-0.44292715,1.0
91,92,-0.44292715,-0.6149862,0.0
92,93,-0.44292715,-0.61515874,0.0
93,94,-0.44292715,-0.44292715,1.0
94,95,-0.46188098,-0.46188098,1.0
95,96,-0.46188098,-0.46188098,1.0
