,Index,true,preds,mask
0,1,-0.42958915,-0.42958915,1.0
1,2,-0.4782881,-0.4782881,1.0
2,3,-0.5396127,-0.6651621,0.0
3,4,-0.49091378,-0.49091378,1.0
4,5,0.17644227,-0.34374148,0.0
5,6,0.37304175,0.37304175,1.0
6,7,0.7518114,0.44380373,0.0
7,8,1.081882,1.081882,1.0
8,9,1.6139632,0.9706796,0.0
9,10,1.6951281,1.6951281,1.0
10,11,2.109971,2.109971,1.0
11,12,2.4508638,2.4508638,1.0
12,13,2.5482616,2.5482616,1.0
13,14,2.283123,2.283123,1.0
14,15,2.0450392,2.0450392,1.0
15,16,1.475081,1.475081,1.0
16,17,1.5147617,1.5147617,1.0
17,18,1.3109475,0.83754736,0.0
18,19,1.1648506,0.74970293,0.0
19,20,0.9285705,0.816419,0.0
20,21,0.43797368,0.19370592,0.0
21,22,0.02313074,0.09595952,0.0
22,23,-0.07607083,-0.09944054,0.0
23,24,-0.08148183,-0.13489595,0.0
24,25,-0.21314937,-0.30846348,0.0
25,26,-0.29792163,-0.50976235,0.0
26,27,-0.47107345,-0.47107345,1.0
27,28,-0.32858393,-0.32858393,1.0
28,29,0.080848016,0.080848016,1.0
29,30,0.17644227,0.17644227,1.0
30,31,0.39468572,-0.21063375,0.0
31,32,0.73738205,0.73738205,1.0
32,33,0.91414124,0.91414124,1.0
33,34,0.7229527,0.7229527,1.0
34,35,1.3307878,1.3307878,1.0
35,36,1.6193742,0.48161066,0.0
36,37,1.1648506,0.6192897,0.0
37,38,1.0945077,1.0945077,1.0
38,39,1.2297826,0.81037986,0.0
39,40,1.0097355,1.0097355,1.0
40,41,1.190102,0.53960925,0.0
41,42,1.103526,1.103526,1.0
42,43,0.9411962,0.9411962,1.0
43,44,0.5948925,0.5948925,1.0
44,45,0.2053009,0.32686538,0.0
45,46,-0.12116245,-0.12116245,1.0
46,47,-0.00212057,-0.00212057,1.0
47,48,0.19447891,-0.17726448,0.0
48,49,-0.061641514,-0.061641514,1.0
49,50,-0.11935879,-0.52514005,0.0
50,51,-0.37908655,-0.37908655,1.0
51,52,-0.22938235,-0.22938235,1.0
52,53,-0.17707607,-0.7944602,0.0
53,54,-0.13378811,-0.13378811,1.0
54,55,0.39648938,-0.552556,0.0
55,56,0.66343176,-0.22722855,0.0
56,57,1.0079318,1.0079318,1.0
57,58,1.119759,0.3809367,0.0
58,59,1.3830941,1.3830941,1.0
59,60,1.5490313,1.5490313,1.0
60,61,1.792526,1.792526,1.0
61,62,1.6157669,1.6157669,1.0
62,63,1.6716805,0.5260174,0.0
63,64,1.6392145,0.6280714,0.0
64,65,1.4786884,1.4786884,1.0
65,66,1.0638454,0.6272709,0.0
66,67,0.91414124,0.91414124,1.0
67,68,0.8582276,0.45172486,0.0
68,69,0.45781398,0.45781398,1.0
69,70,0.1692276,0.1692276,1.0
70,71,0.22153388,0.22153388,1.0
71,72,-0.11935879,-0.34368107,0.0
72,73,-0.30693993,-0.5159231,0.0
73,74,-0.4079452,-0.4079452,1.0
74,75,-0.7578562,-0.7578562,1.0
75,76,-0.77408916,-0.9974109,0.0
76,77,-0.46566245,-0.46566245,1.0
77,78,-0.37367555,-0.37367555,1.0
78,79,0.028541734,-0.73406863,0.0
79,80,0.39829305,-0.4491242,0.0
80,81,0.5768559,0.5768559,1.0
81,82,0.6724501,0.6724501,1.0
82,83,0.7932957,0.7932957,1.0
83,84,1.1395993,0.06140764,0.0
84,85,1.2550339,0.45072165,0.0
85,86,1.173869,1.173869,1.0
86,87,0.8979082,0.8979082,1.0
87,88,0.71573806,0.17349574,0.0
88,89,0.69589776,-0.11625705,0.0
89,90,0.37845272,0.37845272,1.0
90,91,0.120528646,0.120528646,1.0
91,92,-0.48730645,-0.48730645,1.0
92,93,0.035756394,0.035756394,1.0
93,94,-0.47648445,-0.47648445,1.0
94,95,-0.38449752,-0.38449752,1.0
95,96,-0.56306034,-0.56306034,1.0
