,Index,train_loss,vali_loss,test_loss
0,1,0.14377430209668574,0.13852802,0.19119929
1,2,0.09524074414341183,0.12837164,0.17904125
2,3,0.08693247571118645,0.12472472,0.17574167
3,4,0.08393243355741659,0.122632354,0.17339545
4,5,0.08255533887711647,0.12278426,0.17342061
5,6,0.08187054117841945,0.12177844,0.17252101
6,7,0.08150204549172332,0.12220795,0.17304139
7,8,0.08134001400321722,0.12160729,0.17249835
8,9,0.08127411152073345,0.12187239,0.17264573
9,10,0.08122653307041505,0.12187263,0.17237808
