,Index,train_loss,vali_loss,test_loss
0,1,0.053526739314310116,0.03223909,0.04665085
1,2,0.039030257818264684,0.032106586,0.046173368
2,3,0.03673546812549401,0.031191248,0.046260364
3,4,0.03576852059975434,0.030283201,0.044501826
4,5,0.03501356047079358,0.030171288,0.04408282
5,6,0.035586472443733995,0.030039089,0.044277977
6,7,0.03459390553502777,0.030419555,0.04439145
7,8,0.03477939332692364,0.030098544,0.04420393
8,9,0.033957829459985434,0.029970026,0.04463982
9,10,0.034570244182780215,0.030094989,0.04402926
