,Index,train_loss,vali_loss,test_loss
0,1,0.15470492895068735,0.084890485,0.028984947
1,2,0.14551038325899138,0.07594816,0.027920837
2,3,0.13008373226077596,0.079414405,0.02693592
3,4,0.11751873954472697,0.0746547,0.026154283
4,5,0.1476532450434357,0.077222705,0.026187899
5,6,0.12165451901241742,0.07102659,0.02594226
6,7,0.11829639658843916,0.06777424,0.025533259
7,8,0.1295589616051468,0.06573407,0.025761453
8,9,0.09246997499580019,0.06868248,0.026069349
9,10,0.11661618844844586,0.07296026,0.025819452
