,Index,train_loss,vali_loss,test_loss
0,1,0.1693750902145077,0.075936675,0.031164939
1,2,0.13780867221200918,0.0841792,0.030502267
2,3,0.14175907426107417,0.08949111,0.030060405
3,4,0.12789358149058613,0.081781216,0.030107727
4,5,0.1514423602358278,0.087025106,0.02950258
5,6,0.14959959796637542,0.08967806,0.029982455
6,7,0.12788795861048952,0.08856995,0.02971654
7,8,0.1327837986580739,0.08677052,0.029465243
8,9,0.1278851129950752,0.07847677,0.029716387
9,10,0.1234742110508416,0.078864574,0.02974622
