,Index,train_loss,vali_loss,test_loss
0,1,0.06473773077465175,0.044615407,0.06135475
1,2,0.049388630936543144,0.04148579,0.05658353
2,3,0.04338408862885911,0.04010722,0.05640204
3,4,0.04069106922962804,0.03932685,0.054745957
4,5,0.039278565972262106,0.03864687,0.053758435
5,6,0.038423256076565396,0.038145646,0.054114144
6,7,0.037937058163771915,0.03801978,0.053686075
7,8,0.03735034158697512,0.038190924,0.053767003
8,9,0.03770251778278793,0.038078915,0.0534851
9,10,0.037442053131033645,0.037889976,0.053653315
