,Index,train_loss,vali_loss,test_loss
0,1,0.0638394962842768,0.047229286,0.06442984
1,2,0.0462171658908439,0.040045552,0.056822453
2,3,0.03798604163267974,0.036863163,0.053709492
3,4,0.03365662024611056,0.035794273,0.053240538
4,5,0.03131084940448571,0.034733105,0.05235578
5,6,0.030197812924475483,0.034761645,0.0527779
6,7,0.029399074331511944,0.03439764,0.05247606
7,8,0.028973504883491815,0.034123085,0.051922467
8,9,0.028827777700952153,0.034338716,0.05230194
9,10,0.028857339731651298,0.034223936,0.051972914
