,Index,train_loss,vali_loss,test_loss
0,1,0.05908111170515377,0.06437994,0.059940465
1,2,0.045974450922651545,0.060988475,0.055957645
2,3,0.042697936365642036,0.05953983,0.054013256
3,4,0.04130713358009537,0.05528525,0.04978516
4,5,0.04067045270518063,0.05496094,0.049437158
5,6,0.04042026108457684,0.055782884,0.049464498
6,7,0.04017172650820615,0.054713536,0.04946908
7,8,0.04025109915085268,0.055365954,0.048967026
8,9,0.040242717708586374,0.054850068,0.048874523
9,10,0.04010762809192072,0.055225395,0.049068626
