,Index,train_loss,vali_loss,test_loss
0,1,0.0407281285739861,0.04391988,0.040024873
1,2,0.027506067485011554,0.039321534,0.036280196
2,3,0.02296327606592407,0.036536027,0.03306599
3,4,0.020791773736639468,0.034236576,0.031453148
4,5,0.019690067689353902,0.033371277,0.030558238
5,6,0.019027540512977923,0.033210337,0.030847233
6,7,0.01871143124034298,0.033073425,0.030556114
7,8,0.01851728158945022,0.032617405,0.030244432
8,9,0.018490887370251098,0.032674484,0.030525107
9,10,0.01841535697455069,0.032697413,0.030235864
