,Index,true,preds,mask
0,1,-1.4864265,-1.4864265,1.0
1,2,-1.5244205,-1.4958116,0.0
2,3,-1.5244205,-1.5199769,0.0
3,4,-1.5244205,-1.5244205,1.0
4,5,-1.5244205,-1.5244205,1.0
5,6,-1.5244205,-1.5363182,0.0
6,7,-1.5244205,-1.5712539,0.0
7,8,-1.5433744,-1.5585164,0.0
8,9,-1.5623282,-1.5623282,1.0
9,10,-1.5623282,-1.5623282,1.0
10,11,-1.5623282,-1.5623282,1.0
11,12,-1.5623282,-1.5590513,0.0
12,13,-1.5623282,-1.5623282,1.0
13,14,-1.5623282,-1.5623282,1.0
14,15,-1.6003224,-1.6003224,1.0
15,16,-1.6003224,-1.6003224,1.0
16,17,-1.6003224,-1.6003224,1.0
17,18,-1.6003224,-1.6073545,0.0
18,19,-1.6003224,-1.6003224,1.0
19,20,-1.6382301,-1.6356416,0.0
20,21,-1.6382301,-1.6382301,1.0
21,22,-1.6382301,-1.644084,0.0
22,23,-1.6382301,-1.6382301,1.0
23,24,-1.6382301,-1.6268466,0.0
24,25,-1.6382301,-1.6081719,0.0
25,26,-1.6382301,-1.6405892,0.0
26,27,-1.6382301,-1.6382301,1.0
27,28,-1.6382301,-1.6382301,1.0
28,29,-1.6382301,-1.6382301,1.0
29,30,-1.6003224,-1.6170145,0.0
30,31,-1.5813253,-1.5813253,1.0
31,32,-1.5623282,-1.5791924,0.0
32,33,-1.5623282,-1.5323709,0.0
33,34,-1.5623282,-1.4714073,0.0
34,35,-1.5623282,-1.5651591,0.0
35,36,-1.5623282,-1.5623282,1.0
36,37,-1.5244205,-1.5244205,1.0
37,38,-1.5244205,-1.5244205,1.0
38,39,-1.5244205,-1.5244205,1.0
39,40,-1.4864265,-1.4864265,1.0
40,41,-1.4864265,-1.4864265,1.0
41,42,-1.4485186,-1.4485186,1.0
42,43,-1.4485186,-1.4485186,1.0
43,44,-1.4295216,-1.4295216,1.0
44,45,-1.4105245,-1.3964822,0.0
45,46,-1.3915707,-1.3915707,1.0
46,47,-1.3915707,-1.3915707,1.0
47,48,-1.3915707,-1.3915707,1.0
48,49,-1.3726169,-1.3726169,1.0
49,50,-1.3726169,-1.3378942,0.0
50,51,-1.3726169,-1.3726169,1.0
51,52,-1.3726169,-1.3726169,1.0
52,53,-1.3726169,-1.3726169,1.0
53,54,-1.3726169,-1.3726169,1.0
54,55,-1.3726169,-1.3726169,1.0
55,56,-1.3726169,-1.3133894,0.0
56,57,-1.3726169,-1.3726169,1.0
57,58,-1.3726169,-1.3095769,0.0
58,59,-1.3726169,-1.2901789,0.0
59,60,-1.3726169,-1.3726169,1.0
60,61,-1.3726169,-1.3726169,1.0
61,62,-1.3726169,-1.3726169,1.0
62,63,-1.3726169,-1.3726169,1.0
63,64,-1.3346659,-1.3346659,1.0
64,65,-1.2967149,-1.2967149,1.0
65,66,-1.2967149,-1.300811,0.0
66,67,-1.2967149,-1.2967149,1.0
67,68,-1.2967149,-1.2967149,1.0
68,69,-1.2967149,-1.2934319,0.0
69,70,-1.2777611,-1.250489,0.0
70,71,-1.2588072,-1.2588072,1.0
71,72,-1.2588072,-1.2588072,1.0
72,73,-1.2588072,-1.2588072,1.0
73,74,-1.2588072,-1.2649965,0.0
74,75,-1.2588072,-1.2186073,0.0
75,76,-1.2398102,-1.2398102,1.0
76,77,-1.2398102,-1.1976929,0.0
77,78,-1.2208132,-1.2208132,1.0
78,79,-1.2208132,-1.2209728,0.0
79,80,-1.2208132,-1.2208132,1.0
80,81,-1.2208132,-1.2208132,1.0
81,82,-1.2018592,-1.2299689,0.0
82,83,-1.2018592,-1.3266509,0.0
83,84,-1.2018592,-1.1718279,0.0
84,85,-1.1829054,-1.1829054,1.0
85,86,-1.1829054,-1.1882195,0.0
86,87,-1.1829054,-1.1829054,1.0
87,88,-1.1829054,-1.192464,0.0
88,89,-1.1829054,-1.1829054,1.0
89,90,-1.1829054,-1.1829054,1.0
90,91,-1.1829054,-1.1829054,1.0
91,92,-1.1829054,-1.1829054,1.0
92,93,-1.1829054,-1.1793588,0.0
93,94,-1.1639084,-1.1639084,1.0
94,95,-1.1639084,-1.1639084,1.0
95,96,-1.1639084,-1.1639084,1.0
