,Index,true,preds,mask
0,1,0.063407235,0.06660775,0.0
1,2,0.06575125,0.06575125,1.0
2,3,0.063407235,0.063407235,1.0
3,4,0.06314679,0.04990504,0.0
4,5,0.06496991,0.056735076,0.0
5,6,0.06418857,0.06418857,1.0
6,7,0.065230355,0.083222955,0.0
7,8,0.06809526,0.08381557,0.0
8,9,0.06809526,0.06809526,1.0
9,10,0.06861615,0.083971865,0.0
10,11,0.06965794,0.083941825,0.0
11,12,0.07226239,0.07226239,1.0
12,13,0.07017883,0.07017883,1.0
13,14,0.07200195,0.07200195,1.0
14,15,0.07408551,0.07408551,1.0
15,16,0.07252284,0.07252284,1.0
16,17,0.074866846,0.074866846,1.0
17,18,0.07408551,0.07408551,1.0
18,19,0.07330418,0.07330418,1.0
19,20,0.07252284,0.07252284,1.0
20,21,0.07382507,0.07382507,1.0
21,22,0.07226239,0.07226239,1.0
22,23,0.07356462,0.0837249,0.0
23,24,0.0746064,0.08402601,0.0
24,25,0.07825264,0.08373213,0.0
25,26,0.080857106,0.080857106,1.0
26,27,0.07642952,0.07642952,1.0
27,28,0.07226239,0.0835561,0.0
28,29,0.07017883,0.083087124,0.0
29,30,0.06991838,0.06991838,1.0
30,31,0.07226239,0.07226239,1.0
31,32,0.07226239,0.07640412,0.0
32,33,0.07408551,0.07408551,1.0
33,34,0.07564819,0.078814246,0.0
34,35,0.07616908,0.08157199,0.0
35,36,0.07721086,0.07721086,1.0
36,37,0.07773175,0.07773175,1.0
37,38,0.07564819,0.07564819,1.0
38,39,0.07616908,0.07616908,1.0
39,40,0.07721086,0.07152476,0.0
40,41,0.07408551,0.07408551,1.0
41,42,0.0746064,0.0746064,1.0
42,43,0.07668997,0.07427998,0.0
43,44,0.07721086,0.07607276,0.0
44,45,0.07616908,0.07616908,1.0
45,46,0.07851309,0.07851309,1.0
46,47,0.07642952,0.074889496,0.0
47,48,0.07616908,0.07451798,0.0
48,49,0.07721086,0.07721086,1.0
49,50,0.07721086,0.07721086,1.0
50,51,0.0779922,0.08251505,0.0
51,52,0.08189888,0.08189888,1.0
52,53,0.080596656,0.080596656,1.0
53,54,0.07981532,0.08020445,0.0
54,55,0.08007576,0.080362886,0.0
55,56,0.07955487,0.07955487,1.0
56,57,0.07955487,0.07955487,1.0
57,58,0.078773536,0.08015522,0.0
58,59,0.07955487,0.07955487,1.0
59,60,0.08033621,0.082510635,0.0
60,61,0.08033621,0.08033621,1.0
61,62,0.08163844,0.08163844,1.0
62,63,0.08215933,0.080436,0.0
63,64,0.083722,0.083722,1.0
64,65,0.08111755,0.08211384,0.0
65,66,0.08111755,0.0824317,0.0
66,67,0.08007576,0.08007576,1.0
67,68,0.08111755,0.08238944,0.0
68,69,0.082680225,0.08271765,0.0
69,70,0.084242895,0.084242895,1.0
70,71,0.08736825,0.08736825,1.0
71,72,0.08502424,0.08431152,0.0
72,73,0.08476379,0.08358327,0.0
73,74,0.08294067,0.082157545,0.0
74,75,0.083722,0.083722,1.0
75,76,0.08502424,0.08388285,0.0
76,77,0.08684736,0.083232954,0.0
77,78,0.08658691,0.0827045,0.0
78,79,0.086066015,0.08368504,0.0
79,80,0.08580557,0.08580557,1.0
80,81,0.08736825,0.08736825,1.0
81,82,0.089972705,0.089972705,1.0
82,83,0.08736825,0.08736825,1.0
83,84,0.08736825,0.08736825,1.0
84,85,0.087889135,0.084189385,0.0
85,86,0.09075404,0.09075404,1.0
86,87,0.095702514,0.095702514,1.0
87,88,0.09934875,0.09934875,1.0
88,89,0.10221366,0.084064394,0.0
89,90,0.1024741,0.1024741,1.0
90,91,0.10299499,0.10299499,1.0
91,92,0.101432316,0.101432316,1.0
92,93,0.10091142,0.08458795,0.0
93,94,0.09830697,0.08368527,0.0
94,95,0.09856741,0.09856741,1.0
95,96,0.101432316,0.101432316,1.0
