,Index,true,preds,mask
0,1,-0.93584687,-0.74597514,0.0
1,2,-0.93584687,-0.77015907,0.0
2,3,-0.93584687,-0.93584687,1.0
3,4,-0.93584687,-0.93584687,1.0
4,5,-0.93584687,-0.92685103,0.0
5,6,-0.9547943,-1.0367534,0.0
6,7,-0.97378486,-1.0192744,0.0
7,8,-0.9927753,-0.9927753,1.0
8,9,-1.03067,-1.03067,1.0
9,10,-1.0686512,-1.0167215,0.0
10,11,-1.144527,-1.1237806,0.0
11,12,-1.2203597,-1.2203597,1.0
12,13,-1.2772881,-1.2772881,1.0
13,14,-1.3531208,-1.3531208,1.0
14,15,-1.4289966,-1.4189411,0.0
15,16,-1.4669344,-1.4669344,1.0
16,17,-1.4669344,-1.4669344,1.0
17,18,-1.3341733,-1.3361183,0.0
18,19,-1.1824648,-1.1824648,1.0
19,20,-1.0117228,-1.0381832,0.0
20,21,-0.8031289,-0.9113532,0.0
21,22,-0.72721,-0.7747168,0.0
22,23,-0.6893153,-0.6893153,1.0
23,24,-0.6134395,-0.6641904,0.0
24,25,-0.6133962,-0.6991495,0.0
25,26,-0.72721,-0.72721,1.0
26,27,-0.8410669,-0.8410669,1.0
27,28,-0.97378486,-0.97378486,1.0
28,29,-1.0686512,-1.0686512,1.0
29,30,-1.1634743,-1.1634743,1.0
30,31,-1.2393502,-1.2393502,1.0
31,32,-1.2772881,-1.2292495,0.0
32,33,-1.2772881,-1.159227,0.0
33,34,-1.2772881,-1.2681391,0.0
34,35,-1.315226,-1.315226,1.0
35,36,-1.3910587,-1.3460044,0.0
36,37,-1.4100492,-1.4100492,1.0
37,38,-1.3910587,-1.4020598,0.0
38,39,-1.3910587,-1.3910587,1.0
39,40,-1.3531208,-1.3896655,0.0
40,41,-1.2962787,-1.2196748,0.0
41,42,-1.2393502,-1.0315074,0.0
42,43,-1.1634743,-0.98123556,0.0
43,44,-1.0686512,-1.0686512,1.0
44,45,-0.91689956,-0.91689956,1.0
45,46,-0.78413844,-0.7007167,0.0
46,47,-0.63238686,-0.63238686,1.0
47,48,-0.6133962,-0.6133962,1.0
48,49,-0.6133962,-0.6363584,0.0
49,50,-0.68927217,-0.7673991,0.0
50,51,-0.82207644,-0.82207644,1.0
51,52,-0.8979522,-0.96836084,0.0
52,53,-0.9927753,-0.9927753,1.0
53,54,-1.0875986,-1.0875986,1.0
54,55,-1.1255364,-1.1255364,1.0
55,56,-1.1634743,-1.0773289,0.0
56,57,-1.2393502,-1.1672943,0.0
57,58,-1.2772881,-1.2540009,0.0
58,59,-1.315226,-1.315226,1.0
59,60,-1.3531208,-1.2877792,0.0
60,61,-1.3910587,-1.375871,0.0
61,62,-1.4100492,-1.4100492,1.0
62,63,-1.4289966,-1.4289966,1.0
63,64,-1.4669344,-1.4669344,1.0
64,65,-1.4669344,-1.3528551,0.0
65,66,-1.2393502,-1.2393502,1.0
66,67,-0.97378486,-0.96864486,0.0
67,68,-0.7082626,-0.7082626,1.0
68,69,-0.46168777,-0.38693452,0.0
69,70,-0.2151562,-0.2151562,1.0
70,71,-0.15822774,-0.20861948,0.0
71,72,-0.3099362,-0.30409563,0.0
72,73,-0.40480244,-0.40480244,1.0
73,74,-0.4806784,-0.45737475,0.0
74,75,-0.59444886,-0.59444886,1.0
75,76,-0.6703247,-0.6703247,1.0
76,77,-0.72725314,-0.72725314,1.0
77,78,-0.765148,-0.7987486,0.0
78,79,-0.82207644,-0.8802396,0.0
79,80,-0.8600142,-0.8600142,1.0
80,81,-0.93584687,-0.96107763,0.0
81,82,-0.9927753,-1.0267507,0.0
82,83,-1.0875986,-1.0875986,1.0
83,84,-1.1255364,-1.1255364,1.0
84,85,-1.2014122,-1.186212,0.0
85,86,-1.2393502,-1.2393502,1.0
86,87,-1.2393502,-1.2717663,0.0
87,88,-1.2393502,-1.214077,0.0
88,89,-1.2014122,-1.2014122,1.0
89,90,-1.0875986,-0.9691607,0.0
90,91,-0.93584687,-0.93584687,1.0
91,92,-0.7651911,-0.90948653,0.0
92,93,-0.6893153,-0.7856623,0.0
93,94,-0.55651104,-0.6141393,0.0
94,95,-0.44274044,-0.44274044,1.0
95,96,-0.44274044,-0.43581772,0.0
