,Index,true,preds,mask
0,1,-2.2833526,-2.2833526,1.0
1,2,-2.2833526,-2.3661773,0.0
2,3,-2.2833526,-2.2833526,1.0
3,4,-2.3023064,-2.3023064,1.0
4,5,-2.3212605,-2.2811935,0.0
5,6,-2.3212605,-2.3212605,1.0
6,7,-2.3402574,-2.3402574,1.0
7,8,-2.3402574,-2.3240166,0.0
8,9,-2.3592544,-2.3053365,0.0
9,10,-2.3592544,-2.3592544,1.0
10,11,-2.3782084,-2.3056884,0.0
11,12,-2.3971622,-2.3624125,0.0
12,13,-2.3971622,-2.3971622,1.0
13,14,-2.4161592,-2.4161592,1.0
14,15,-2.4161592,-2.4161592,1.0
15,16,-2.4161592,-2.386022,0.0
16,17,-2.4161592,-2.4200997,0.0
17,18,-2.3782084,-2.3782084,1.0
18,19,-2.3402574,-2.3446803,0.0
19,20,-2.3023064,-2.280116,0.0
20,21,-2.2264047,-2.288992,0.0
21,22,-2.1505027,-2.1505027,1.0
22,23,-2.0556471,-2.0873802,0.0
23,24,-1.9418374,-1.9418374,1.0
24,25,-1.8848895,-1.9818052,0.0
25,26,-1.7900338,-1.930409,0.0
26,27,-1.6951349,-1.7301369,0.0
27,28,-1.6003224,-1.6003224,1.0
28,29,-1.5054234,-1.5054234,1.0
29,30,-1.4485186,-1.4485186,1.0
30,31,-1.3916138,-1.3916138,1.0
31,32,-1.3346659,-1.2971504,0.0
32,33,-1.2777611,-1.2777611,1.0
33,34,-1.239767,-1.239767,1.0
34,35,-1.2208132,-1.2374573,0.0
35,36,-1.1828623,-1.1223006,0.0
36,37,-1.1259574,-1.1259574,1.0
37,38,-1.1070036,-1.1070036,1.0
38,39,-1.0500556,-1.0844288,0.0
39,40,-1.0500556,-1.0675514,0.0
40,41,-1.0500988,-1.0596468,0.0
41,42,-1.0500556,-1.0500556,1.0
42,43,-1.0690094,-1.0540122,0.0
43,44,-1.0500556,-1.0872455,0.0
44,45,-1.0500556,-1.0500556,1.0
45,46,-1.0500556,-1.0844901,0.0
46,47,-1.0690094,-1.0977652,0.0
47,48,-1.0880065,-1.0880065,1.0
48,49,-1.1070036,-1.1243007,0.0
49,50,-1.1449113,-1.1449113,1.0
50,51,-1.2018592,-1.1847398,0.0
51,52,-1.2398102,-1.2230775,0.0
52,53,-1.258764,-1.258764,1.0
53,54,-1.3156688,-1.2634847,0.0
54,55,-1.3726169,-1.3571521,0.0
55,56,-1.4105678,-1.3944081,0.0
56,57,-1.4484755,-1.4255567,0.0
57,58,-1.4864696,-1.4509513,0.0
58,59,-1.5054234,-1.5054234,1.0
59,60,-1.5433744,-1.5533841,0.0
60,61,-1.5623282,-1.6222069,0.0
61,62,-1.6003224,-1.6003224,1.0
62,63,-1.6003224,-1.6003224,1.0
63,64,-1.6192763,-1.6192763,1.0
64,65,-1.6192763,-1.609449,0.0
65,66,-1.6572272,-1.6511817,0.0
66,67,-1.6572272,-1.7076975,0.0
67,68,-1.6572272,-1.6572272,1.0
68,69,-1.6572272,-1.7374895,0.0
69,70,-1.6761811,-1.7256651,0.0
70,71,-1.695178,-1.7587029,0.0
71,72,-1.695178,-1.8111428,0.0
72,73,-1.695178,-1.797622,0.0
73,74,-1.714132,-1.7922225,0.0
74,75,-1.733129,-1.733129,1.0
75,76,-1.752083,-1.752083,1.0
76,77,-1.7710367,-1.7710367,1.0
77,78,-1.7900338,-1.818012,0.0
78,79,-1.7900338,-1.8347507,0.0
79,80,-1.8089877,-1.8387597,0.0
80,81,-1.8279415,-1.8420284,0.0
81,82,-1.8659356,-1.8659356,1.0
82,83,-1.8848895,-1.8848895,1.0
83,84,-1.9038434,-1.94771,0.0
84,85,-1.9228405,-1.9228405,1.0
85,86,-1.9418374,-1.9418374,1.0
86,87,-1.9607913,-1.9519987,0.0
87,88,-1.9797453,-1.9797453,1.0
88,89,-1.9987422,-1.9671614,0.0
89,90,-2.0177393,-2.0177393,1.0
90,91,-2.036693,-2.036693,1.0
91,92,-2.0556471,-2.0791602,0.0
92,93,-2.0556471,-2.0556471,1.0
93,94,-2.093598,-2.0452456,0.0
94,95,-2.093598,-2.0602374,0.0
95,96,-2.093598,-2.064597,0.0
