,Index,true,preds,mask
0,1,0.046217814,0.046217814,1.0
1,2,0.048822273,0.043624386,0.0
2,3,0.049864057,0.042609375,0.0
3,4,0.04908272,0.043379243,0.0
4,5,0.049864057,0.049864057,1.0
5,6,0.048561826,0.048561826,1.0
6,7,0.04543648,0.045367397,0.0
7,8,0.04465514,0.04465514,1.0
8,9,0.045176033,0.045176033,1.0
9,10,0.04543648,0.04543648,1.0
10,11,0.046217814,0.04472338,0.0
11,12,0.05090584,0.044320256,0.0
12,13,0.049343165,0.043927677,0.0
13,14,0.04960361,0.044256218,0.0
14,15,0.049343165,0.043835185,0.0
15,16,0.05142673,0.039756782,0.0
16,17,0.05220807,0.03192031,0.0
17,18,0.051947623,0.051947623,1.0
18,19,0.05142673,0.05142673,1.0
19,20,0.052989405,0.030289635,0.0
20,21,0.05403119,0.025017142,0.0
21,22,0.05455208,0.05455208,1.0
22,23,0.05585431,0.021620827,0.0
23,24,0.055593863,0.022721633,0.0
24,25,0.056114756,0.03652518,0.0
25,26,0.05767743,0.038455557,0.0
26,27,0.058458768,0.039352793,0.0
27,28,0.059240103,0.040353585,0.0
28,29,0.060542334,0.060542334,1.0
29,30,0.060542334,0.060542334,1.0
30,31,0.059760995,0.059760995,1.0
31,32,0.06080278,0.044564486,0.0
32,33,0.06002144,0.0451071,0.0
33,34,0.0626259,0.0626259,1.0
34,35,0.062105007,0.062105007,1.0
35,36,0.06184456,0.044990662,0.0
36,37,0.062105007,0.045351967,0.0
37,38,0.061063223,0.045216367,0.0
38,39,0.05950055,0.05950055,1.0
39,40,0.058458768,0.058458768,1.0
40,41,0.059240103,0.0461002,0.0
41,42,0.05455208,0.045233313,0.0
42,43,0.05455208,0.05455208,1.0
43,44,0.054291636,0.045906022,0.0
44,45,0.05455208,0.044847462,0.0
45,46,0.05403119,0.045554314,0.0
46,47,0.0563752,0.0563752,1.0
47,48,0.05689609,0.05689609,1.0
48,49,0.054812524,0.054812524,1.0
49,50,0.05455208,0.05455208,1.0
50,51,0.051947623,0.051947623,1.0
51,52,0.04283202,0.045667704,0.0
52,53,0.034497757,0.034497757,1.0
53,54,0.030330624,0.04503932,0.0
54,55,0.028247058,0.045838434,0.0
55,56,0.028247058,0.045457292,0.0
56,57,0.03059107,0.03059107,1.0
57,58,0.029549286,0.029549286,1.0
58,59,0.030070178,0.045376897,0.0
59,60,0.030851515,0.044736143,0.0
60,61,0.02746572,0.02746572,1.0
61,62,0.030330624,0.030330624,1.0
62,63,0.029028395,0.029028395,1.0
63,64,0.025903046,0.025903046,1.0
64,65,0.02434037,0.04098284,0.0
65,66,0.022256805,0.041624833,0.0
66,67,0.022256805,0.022256805,1.0
67,68,0.022256805,0.022256805,1.0
68,69,0.019912794,0.019912794,1.0
69,70,0.018350119,0.018350119,1.0
70,71,0.017829228,0.032926172,0.0
71,72,0.01704789,0.01704789,1.0
72,73,0.01574566,0.027937695,0.0
73,74,0.0139225405,0.0139225405,1.0
74,75,0.013401649,0.013401649,1.0
75,76,0.013662095,0.013662095,1.0
76,77,0.013141204,0.034043908,0.0
77,78,0.012880757,0.0446615,0.0
78,79,0.012620312,0.039550673,0.0
79,80,0.012359866,0.012359866,1.0
80,81,0.011838974,0.037366536,0.0
81,82,0.011838974,0.011838974,1.0
82,83,0.011578529,0.02499146,0.0
83,84,0.011838974,0.011838974,1.0
84,85,0.011318083,0.030853868,0.0
85,86,0.010797191,0.026916161,0.0
86,87,0.011578529,0.011578529,1.0
87,88,0.011838974,0.011838974,1.0
88,89,0.012099421,0.037272323,0.0
89,90,0.012620312,0.040257167,0.0
90,91,0.013141204,0.013141204,1.0
91,92,0.0139225405,0.04022605,0.0
92,93,0.014182987,0.045532398,0.0
93,94,0.014182987,0.047444366,0.0
94,95,0.014703878,0.047339015,0.0
95,96,0.0149643235,0.046453334,0.0
