,Index,train_loss,vali_loss,test_loss
0,1,0.025200747588204918,0.021583013,0.028967833
1,2,0.019490543265628976,0.019844498,0.026697246
2,3,0.017338942626997925,0.0190023,0.025792379
3,4,0.016543382951711323,0.018568018,0.025092062
4,5,0.016144605633217284,0.018490048,0.025224112
5,6,0.015821080003712004,0.018403364,0.025031619
6,7,0.01588644408564686,0.018303225,0.02490078
7,8,0.015780211626072117,0.018326681,0.024939524
8,9,0.0156760145274502,0.018301195,0.024838377
9,10,0.015689046746042032,0.018272491,0.024893362
