,Index,train_loss,vali_loss,test_loss
0,1,0.10709713114803279,0.089045696,0.09576531
1,2,0.08131249466507168,0.08261403,0.091677114
2,3,0.07677845303229727,0.08090766,0.0897585
3,4,0.07499028524787693,0.08029397,0.08894288
4,5,0.07411607487088108,0.08037358,0.08854508
5,6,0.07366986697135897,0.07994191,0.088528275
6,7,0.07342500035761745,0.07990298,0.08838906
7,8,0.07335861192664483,0.07942858,0.08823917
8,9,0.07325431238208617,0.07949394,0.08827097
9,10,0.07317880079983831,0.079516396,0.088201836
