,Index,true,preds,mask
0,1,-1.4909034,-1.4909034,1.0
1,2,-1.4602817,-1.4616809,0.0
2,3,-1.4065574,-1.4065574,1.0
3,4,-1.475538,-1.475538,1.0
4,5,-1.513897,-1.513897,1.0
5,6,-1.4985316,-1.4985316,1.0
6,7,-1.4832752,-1.4832752,1.0
7,8,-1.4449164,-1.5046706,0.0
8,9,-1.4832752,-1.4832752,1.0
9,10,-1.5292623,-1.5292623,1.0
10,11,-1.513897,-1.5823505,0.0
11,12,-1.5675122,-1.5675122,1.0
12,13,-1.5215251,-1.5215251,1.0
13,14,-1.5368905,-1.5087405,0.0
14,15,-1.475538,-1.475538,1.0
15,16,-1.5062687,-1.5456839,0.0
16,17,-1.5062687,-1.5062687,1.0
17,18,-1.5292623,-1.5856047,0.0
18,19,-1.5292623,-1.5292623,1.0
19,20,-1.5292623,-1.5292623,1.0
20,21,-1.4525446,-1.4525446,1.0
21,22,-1.4219228,-1.4219228,1.0
22,23,-1.3989292,-1.3989292,1.0
23,24,-1.4142946,-1.4142946,1.0
24,25,-1.3989292,-1.3989292,1.0
25,26,-1.3299487,-1.3970222,0.0
26,27,-1.3529422,-1.3529422,1.0
27,28,-1.3299487,-1.3299487,1.0
28,29,-1.3222115,-1.3222115,1.0
29,30,-1.4142946,-1.4142946,1.0
30,31,-1.4525446,-1.4525446,1.0
31,32,-1.4065574,-1.4065574,1.0
32,33,-1.4525446,-1.3772103,0.0
33,34,-1.4525446,-1.4313616,0.0
34,35,-1.4679098,-1.4679098,1.0
35,36,-1.4679098,-1.4679098,1.0
36,37,-1.4372882,-1.4388952,0.0
37,38,-1.3835639,-1.3835639,1.0
38,39,-1.3989292,-1.3989292,1.0
39,40,-1.3835639,-1.3835639,1.0
40,41,-1.3989292,-1.3989292,1.0
41,42,-1.3989292,-1.3989292,1.0
42,43,-1.3759357,-1.3759357,1.0
43,44,-1.3299487,-1.3299487,1.0
44,45,-1.2226092,-1.2226092,1.0
45,46,-1.1382631,-1.1382631,1.0
46,47,-1.0769107,-1.2315044,0.0
47,48,-1.0999043,-1.1866217,0.0
48,49,-1.0769107,-1.0769107,1.0
49,50,-1.1152697,-1.1152697,1.0
50,51,-1.176622,-1.176622,1.0
51,52,-1.2072438,-1.2072438,1.0
52,53,-1.260968,-1.260968,1.0
53,54,-1.2762244,-1.2762244,1.0
54,55,-1.2685962,-1.2685962,1.0
55,56,-1.260968,-1.260968,1.0
56,57,-1.2839615,-1.2839615,1.0
57,58,-1.2685962,-1.2685962,1.0
58,59,-1.2762244,-1.285601,0.0
59,60,-1.2915897,-1.2915897,1.0
60,61,-1.3069551,-1.3069551,1.0
61,62,-1.3299487,-1.3299487,1.0
62,63,-1.3989292,-1.3989292,1.0
63,64,-1.3299487,-1.3299487,1.0
64,65,-1.3375769,-1.3375769,1.0
65,66,-1.3759357,-1.3183324,0.0
66,67,-1.3069551,-1.3069551,1.0
67,68,-1.1152697,-1.2318288,0.0
68,69,-1.1842502,-1.1842502,1.0
69,70,-1.1152697,-1.1152697,1.0
70,71,-1.0616543,-1.0672703,0.0
71,72,-1.0539172,-1.0539172,1.0
72,73,-1.0309236,-1.1863348,0.0
73,74,-1.0922761,-1.3231349,0.0
74,75,-1.1688849,-1.3256289,0.0
75,76,-1.176622,-1.31318,0.0
76,77,-1.176622,-1.2304842,0.0
77,78,-1.1458913,-1.1458913,1.0
78,79,-1.130635,-1.130635,1.0
79,80,-1.2992179,-1.2992179,1.0
80,81,-1.3375769,-1.2944168,0.0
81,82,-1.260968,-1.260968,1.0
82,83,-1.2302372,-1.2302372,1.0
83,84,-1.2532309,-1.2532309,1.0
84,85,-1.2839615,-1.2839615,1.0
85,86,-1.2532309,-1.2409831,0.0
86,87,-1.1842502,-1.1842502,1.0
87,88,-1.2915897,-1.2558532,0.0
88,89,-1.3835639,-1.4094453,0.0
89,90,-1.429551,-1.429551,1.0
90,91,-1.3605703,-1.3605703,1.0
91,92,-1.3222115,-1.3222115,1.0
92,93,-1.2762244,-1.2713354,0.0
93,94,-1.1996156,-1.1996156,1.0
94,95,-1.2072438,-1.2072438,1.0
95,96,-1.1918784,-1.1918784,1.0
