,Index,train_loss,vali_loss,test_loss
0,1,0.09020999537899477,0.0565846,0.07435207
1,2,0.07600762792043249,0.054652933,0.07246774
2,3,0.07042249515373608,0.052830573,0.070421025
3,4,0.06857020386288898,0.052568,0.06939684
4,5,0.06771473572606898,0.052050818,0.06891765
5,6,0.0674539486274179,0.051839385,0.0696461
6,7,0.06671033061566424,0.05191532,0.068890475
7,8,0.06658671150325836,0.05196461,0.06880484
8,9,0.06684757884215103,0.05147322,0.06890674
9,10,0.06664774498522058,0.051278643,0.06913904
