,Index,true,preds,mask
0,1,-1.8668793,-1.7635509,0.0
1,2,-1.8668793,-1.8668793,1.0
2,3,-1.8668793,-1.8668793,1.0
3,4,-1.8668793,-1.8668793,1.0
4,5,-1.8668793,-1.8668793,1.0
5,6,-1.8668793,-1.853899,0.0
6,7,-1.8668793,-1.7933027,0.0
7,8,-1.8668793,-1.7840286,0.0
8,9,-1.9512571,-1.7738268,0.0
9,10,-1.943517,-1.7506222,0.0
10,11,-1.935886,-1.7505192,0.0
11,12,-1.8668793,-1.7409241,0.0
12,13,-1.928255,-1.8039515,0.0
13,14,-1.8668793,-1.8668793,1.0
14,15,-1.8668793,-1.8504038,0.0
15,16,-1.8668793,-1.8668793,1.0
16,17,-1.8668793,-1.7947478,0.0
17,18,-1.8668793,-1.7542124,0.0
18,19,-1.928255,-1.7470654,0.0
19,20,-1.9205148,-1.7971256,0.0
20,21,-1.8668793,-1.8668793,1.0
21,22,-1.8668793,-1.8668793,1.0
22,23,-1.8132439,-1.8132439,1.0
23,24,-1.7671305,-1.805242,0.0
24,25,-1.7441282,-1.7441282,1.0
25,26,-1.7364972,-1.7546796,0.0
26,27,-1.7288661,-1.7409815,0.0
27,28,-1.705864,-1.705864,1.0
28,29,-1.713495,-1.713495,1.0
29,30,-1.8668793,-1.8668793,1.0
30,31,-1.8668793,-1.8668793,1.0
31,32,-1.7978728,-1.7978728,1.0
32,33,-1.7288661,-1.7288661,1.0
33,34,-1.705864,-1.7693478,0.0
34,35,-1.705864,-1.7562832,0.0
35,36,-1.7211261,-1.7211261,1.0
36,37,-1.6981239,-1.6981239,1.0
37,38,-1.6981239,-1.7212634,0.0
38,39,-1.6904929,-1.7194195,0.0
39,40,-1.6674906,-1.7073019,0.0
40,41,-1.6674906,-1.6975174,0.0
41,42,-1.6521195,-1.6932739,0.0
42,43,-1.6828618,-1.6828618,1.0
43,44,-1.6674906,-1.6674906,1.0
44,45,-1.6674906,-1.6776227,0.0
45,46,-1.6674906,-1.6795169,0.0
46,47,-1.6674906,-1.6674906,1.0
47,48,-1.6674906,-1.6672425,0.0
48,49,-1.6674906,-1.6674906,1.0
49,50,-1.6598595,-1.6827613,0.0
50,51,-1.6674906,-1.6773981,0.0
51,52,-1.6828618,-1.6766788,0.0
52,53,-1.6981239,-1.6981239,1.0
53,54,-1.705864,-1.6758071,0.0
54,55,-1.6981239,-1.6707098,0.0
55,56,-1.6828618,-1.6828618,1.0
56,57,-1.7518684,-1.674761,0.0
57,58,-1.7518684,-1.6876792,0.0
58,59,-1.7364972,-1.6882068,0.0
59,60,-1.7364972,-1.6950846,0.0
60,61,-1.6981239,-1.6952697,0.0
61,62,-1.6904929,-1.6904929,1.0
62,63,-1.6674906,-1.6786329,0.0
63,64,-1.6598595,-1.6598595,1.0
64,65,-1.6598595,-1.6598595,1.0
65,66,-1.7211261,-1.7211261,1.0
66,67,-1.7211261,-1.7211261,1.0
67,68,-1.6981239,-1.6981239,1.0
68,69,-1.705864,-1.705864,1.0
69,70,-1.6598595,-1.6931463,0.0
70,71,-1.6291173,-1.6291173,1.0
71,72,-1.598484,-1.598484,1.0
72,73,-1.598484,-1.6331826,0.0
73,74,-1.590853,-1.590853,1.0
74,75,-1.6291173,-1.6291173,1.0
75,76,-1.590853,-1.590853,1.0
76,77,-1.5754818,-1.5754818,1.0
77,78,-1.5831128,-1.5831128,1.0
78,79,-1.5754818,-1.6247908,0.0
79,80,-1.5677418,-1.5864154,0.0
80,81,-1.5371084,-1.5371084,1.0
81,82,-1.5371084,-1.6015506,0.0
82,83,-1.590853,-1.6567937,0.0
83,84,-1.5601107,-1.6276903,0.0
84,85,-1.590853,-1.590853,1.0
85,86,-1.5677418,-1.6107874,0.0
86,87,-1.598484,-1.598484,1.0
87,88,-1.5524796,-1.6548536,0.0
88,89,-1.5447395,-1.6233888,0.0
89,90,-1.5677418,-1.5677418,1.0
90,91,-1.5447395,-1.5447395,1.0
91,92,-1.5294774,-1.6403873,0.0
92,93,-1.5524796,-1.6099645,0.0
93,94,-1.5217373,-1.5217373,1.0
94,95,-1.5294774,-1.5593557,0.0
95,96,-1.5217373,-1.5217373,1.0
