,Index,train_loss,vali_loss,test_loss
0,1,0.15725194437412296,0.09408615,0.03206872
1,2,0.16503860771886134,0.09596234,0.03045257
2,3,0.13868987108586844,0.08381429,0.030059364
3,4,0.12175227730669058,0.077327795,0.029900335
4,5,0.14260316752675126,0.078986414,0.030126624
5,6,0.13633096877124165,0.078828745,0.029867224
6,7,0.1368264405031718,0.08402426,0.029801967
7,8,0.13321335062387846,0.07936984,0.02954958
8,9,0.12988215853654986,0.082838565,0.029729025
9,10,0.14516403806639294,0.084052965,0.029903755
