,Index,true,preds,mask
0,1,0.07747131,0.07747131,1.0
1,2,0.07721086,0.02749029,0.0
2,3,0.075127296,0.075127296,1.0
3,4,0.07747131,0.07747131,1.0
4,5,0.0871078,0.046867575,0.0
5,6,0.08867048,0.04327312,0.0
6,7,0.086066015,0.086066015,1.0
7,8,0.08867048,0.05580449,0.0
8,9,0.10091142,0.10091142,1.0
9,10,0.08398245,0.08398245,1.0
10,11,0.088149585,0.088149585,1.0
11,12,0.0933585,0.061176572,0.0
12,13,0.09856741,0.09856741,1.0
13,14,0.10273454,0.10273454,1.0
14,15,0.09804653,0.09804653,1.0
15,16,0.10013009,0.061618797,0.0
16,17,0.10299499,0.10299499,1.0
17,18,0.116277725,0.06738864,0.0
18,19,0.10924569,0.10924569,1.0
19,20,0.11002703,0.06206304,0.0
20,21,0.114454605,0.05919564,0.0
21,22,0.11315238,0.05702718,0.0
22,23,0.11393371,0.057295803,0.0
23,24,0.11132926,0.05459492,0.0
24,25,0.11028747,0.05305607,0.0
25,26,0.11341282,0.06472129,0.0
26,27,0.11966352,0.11966352,1.0
27,28,0.11341282,0.06123977,0.0
28,29,0.101432316,0.05276197,0.0
29,30,0.097525634,0.056883793,0.0
30,31,0.089972705,0.089972705,1.0
31,32,0.08320112,0.037524078,0.0
32,33,0.078773536,0.029838119,0.0
33,34,0.07590863,0.034168877,0.0
34,35,0.07382507,0.07382507,1.0
35,36,0.072783284,0.04380029,0.0
36,37,0.06679303,0.06679303,1.0
37,38,0.063407235,0.04391182,0.0
38,39,0.056114756,0.032724332,0.0
39,40,0.055333417,0.0556453,0.0
40,41,0.05142673,0.05142673,1.0
41,42,0.049343165,0.049343165,1.0
42,43,0.04908272,0.058467194,0.0
43,44,0.047520045,0.047520045,1.0
44,45,0.0410089,0.0410089,1.0
45,46,0.032674637,0.032674637,1.0
46,47,0.03684177,0.060259208,0.0
47,48,0.034497757,0.057869893,0.0
48,49,0.024600817,0.057063445,0.0
49,50,0.024079926,0.055213697,0.0
50,51,0.028767949,0.028767949,1.0
51,52,0.027205275,0.027205275,1.0
52,53,0.021475468,0.021475468,1.0
53,54,0.021735914,0.021735914,1.0
54,55,0.018350119,0.046517324,0.0
55,56,0.012099421,0.012099421,1.0
56,57,0.0019420356,0.033698812,0.0
57,58,0.0011606984,0.039008796,0.0
58,59,0.00037936104,0.00037936104,1.0
59,60,-0.00066242204,-0.00066242204,1.0
60,61,-0.0019646508,-0.0019646508,1.0
61,62,-0.0001415305,0.016143512,0.0
62,63,-0.0014437593,0.026036708,0.0
63,64,-0.0014437593,0.025665423,0.0
64,65,-0.002745988,-0.002745988,1.0
65,66,-0.002745988,0.00046221912,0.0
66,67,-0.0024855423,0.017175443,0.0
67,68,-0.0024855423,-0.0024855423,1.0
68,69,-0.0024855423,-0.009263407,0.0
69,70,-0.0024855423,-0.0024855423,1.0
70,71,-0.002745988,-0.002745988,1.0
71,72,-0.0024855423,-0.0024855423,1.0
72,73,0.00011891527,0.00011891527,1.0
73,74,0.0024629273,-0.007080637,0.0
74,75,0.0029838188,0.0029838188,1.0
75,76,0.0024629273,0.0024629273,1.0
76,77,0.004806939,0.004806939,1.0
77,78,0.0076718424,0.0076718424,1.0
78,79,0.0055882763,0.0055882763,1.0
79,80,0.006109168,0.006109168,1.0
80,81,0.005848722,0.043656383,0.0
81,82,0.0076718424,0.050790213,0.0
82,83,0.009494963,0.051210996,0.0
83,84,0.010536746,0.054645855,0.0
84,85,0.010536746,0.055954278,0.0
85,86,0.013401649,0.056231983,0.0
86,87,0.012880757,0.047125537,0.0
87,88,0.014443432,0.014443432,1.0
88,89,0.023559034,0.023559034,1.0
89,90,0.02199636,0.05765813,0.0
90,91,0.027205275,0.05665314,0.0
91,92,0.028247058,0.055495102,0.0
92,93,0.024861263,0.024861263,1.0
93,94,0.02381948,0.051488854,0.0
94,95,0.02746572,0.02746572,1.0
95,96,0.030070178,0.030070178,1.0
