,Index,train_loss,vali_loss,test_loss
0,1,0.09100803045018782,0.11767975,0.09162999
1,2,0.07214131689027008,0.11043456,0.08828
2,3,0.06617139923047931,0.10593495,0.076415665
3,4,0.06376247912338387,0.10257407,0.077708855
4,5,0.062297426212983634,0.09970417,0.07502966
5,6,0.06151109505514527,0.09940202,0.074963026
6,7,0.06129974608871151,0.09837953,0.07486768
7,8,0.061331792138098334,0.09928449,0.07345923
8,9,0.060785158743126115,0.09898957,0.07458301
9,10,0.0606594570957766,0.09968198,0.07362447
