,Index,train_loss,vali_loss,test_loss
0,1,0.033770365618902606,0.027730934,0.034982204
1,2,0.027473128460409914,0.026626987,0.03445404
2,3,0.024729416680158208,0.025574345,0.032823805
3,4,0.02344691406152001,0.02462394,0.032003373
4,5,0.022803194752566605,0.024449127,0.031786326
5,6,0.022493615565767913,0.024332518,0.031686023
6,7,0.022342138354707174,0.024254698,0.031342868
7,8,0.02227342804027384,0.02420157,0.031460777
8,9,0.0221939207099641,0.02422302,0.031496324
9,10,0.022100387241850462,0.0241803,0.03144214
