,Index,train_loss,vali_loss,test_loss
0,1,0.10939302217312967,0.14646307,0.118056186
1,2,0.08826525742362501,0.14650129,0.11233054
2,3,0.08126320485513978,0.14035083,0.106092446
3,4,0.07751800835634885,0.13544932,0.10106183
4,5,0.07619347252398172,0.13762623,0.1021399
5,6,0.07549345671907347,0.1339768,0.100353375
6,7,0.07564368338955475,0.13340719,0.10145482
7,8,0.07536784916669688,0.13322626,0.098398514
8,9,0.07482780578235786,0.13292307,0.100417495
9,10,0.07493668837884392,0.13387173,0.09919286
