,Index,train_loss,vali_loss,test_loss
0,1,0.053716751332623935,0.064035125,0.059353404
1,2,0.04102792938394661,0.057557333,0.049939375
2,3,0.03687262559653767,0.054359954,0.046169862
3,4,0.03513544307072183,0.050700806,0.04241932
4,5,0.03417596172544839,0.049427472,0.04233128
5,6,0.0338192790488997,0.049058776,0.042132955
6,7,0.03357028895548044,0.049018417,0.04155374
7,8,0.033488226996539305,0.04911586,0.041296456
8,9,0.03340999139758206,0.0487081,0.04127569
9,10,0.03350475981067123,0.04886263,0.041439027
