,Index,train_loss,vali_loss,test_loss
0,1,0.1550260245631497,0.09989742,0.032464575
1,2,0.1475829982416313,0.083312385,0.031319633
2,3,0.1462099677929675,0.07495893,0.030068373
3,4,0.1369975024186927,0.087729186,0.030183582
4,5,0.13267704546646017,0.07700626,0.029532775
5,6,0.1135804636194077,0.08809873,0.029427573
6,7,0.13205322248536305,0.08357551,0.029552203
7,8,0.11344283424875252,0.07906803,0.029529324
8,9,0.13215088921430163,0.08210156,0.029819686
9,10,0.12084066598275502,0.077564925,0.029200377
